,Team,Conference,MP,GF,GA,ATT,DEF,STR,MAX
0,VMI,SoCon,18,20,35,0.6494490226478669,1.0422235996504507,0.7734642155238857,22.01860223169878
1,George Washington,Atlantic 10,17,15,47,0.6259144895391451,1.7060508684875275,0.6100082912585909,10.327589892221496
2,Delaware,CAA,16,33,31,1.4889288329147186,1.245039864045622,1.2146321533107431,53.572673016412374
3,Boston U.,Patriot,18,20,24,0.6625013449898739,0.9093560097254185,0.8373725356921056,26.58957733119574
4,Villanova,Big East,17,23,38,0.9167806238334419,1.4235880991188035,0.8310485259658447,26.13725921500013
5,LIU,NEC,20,27,26,0.9637248304058079,1.0435172106532993,0.9615539234750647,35.47151993088797
6,Robert Morris,Horizon,19,34,24,1.2818099985849565,0.9148622104096864,1.2063103105812987,52.97746200479301
7,Le Moyne,NEC,17,28,22,1.1091299074520613,1.115950004111956,1.0239169413134919,39.93196891340855
8,St. Thomas (MN),Summit League,16,14,41,0.8046604056003059,1.7734867149673983,0.7083406450318663,17.360707636350238
9,Louisville,ACC,17,32,28,1.4519407171697045,0.987349766992248,1.2762893549964578,57.982639244099474
10,Ga. Southern,Sun Belt,17,29,28,1.2515753255287303,1.0598186018669047,1.1283682744134034,47.40274019095466
11,Siena,MAAC,18,26,18,0.9552992044514912,0.6914964633898435,1.151635120316508,49.06687676952508
12,Boston College,ACC,17,23,19,0.915993890983906,0.674975682862573,1.1422102763305841,48.39277475803574
13,Western Mich.,MVC,21,44,20,1.4329886985300857,0.6599538972873877,1.4658961630420473,71.54406592516678
14,St. Bonaventure,Atlantic 10,17,23,33,0.9480114218551874,1.351956830101543,0.8646742884438372,28.542306360409782
15,Milwaukee,Horizon,19,30,22,1.1154522276384466,0.8209342358891953,1.1565210851171144,49.416340241289056
16,FDU,NEC,19,32,24,1.0908710338264043,1.1303851250167103,1.0083843185326156,38.821014474700405
17,NC State,ACC,20,36,21,1.3134769521535368,0.6293817248167073,1.4236305225623955,68.52106063120429
18,UMass Lowell,America East,16,21,22,0.9935727298311269,0.785868272082906,1.105134793553579,45.740990011864405
19,Eastern Ill.,OVC,16,12,43,0.46783398975868606,1.9271794934618167,0.4882576044612019,1.619500613194216
20,Temple,The American,17,11,20,0.41402548603801703,0.6473294134637977,0.8663387038460217,28.661351914080708
21,Niagara,MAAC,16,18,37,0.7190183391846205,1.7985914929817868,0.6538072516642993,13.46026427438908
22,Sacred Heart,MAAC,16,27,21,1.0552173428086367,0.9912973730866343,1.0366420166909767,40.84211648944559
23,Marquette,Big East,17,21,21,0.8082876701697554,0.8023173017793024,0.9835284715975232,37.043226275634055
24,Xavier,Big East,17,14,19,0.48904271272587985,0.6967227683546499,0.8675420741880391,28.74742170678306
25,UNC Greensboro,SoCon,17,31,15,1.0776143065178179,0.49767755326111857,1.4503018392663534,70.42869838797345
26,Oakland,Horizon,17,22,21,0.9182728398764481,0.9663534238622518,0.9648909381269015,35.710196379276105
27,Rutgers,Big Ten,17,21,27,0.8475568414778776,1.0713949657738562,0.881879148291037,29.772865789055075
28,Clemson,ACC,22,54,25,1.7949120141904726,0.7150402236702363,1.6363562973440509,83.73604698961086
29,Hofstra,CAA,21,42,23,1.6254689371998112,0.7096570993922443,1.5389338648349224,76.76801040283331
30,Coastal Carolina,Sun Belt,16,12,30,0.37902700092513375,1.187475393722805,0.5642652856935744,7.055869733352147
31,Wake Forest,ACC,24,36,27,1.1481357670445504,0.6587654223249017,1.2960778710345837,59.39799195292016
32,Elon,CAA,18,32,25,1.4048051527803285,0.9563955628614095,1.261120080141097,56.897672881992534
33,South Fla.,The American,16,21,24,0.862160783953984,0.9454182393819113,0.9403896405036427,33.95776694526052
34,FIU,The American,18,24,22,0.9159311496371467,0.9687389363060953,0.962466631239914,35.536800389758774
35,UAB,AAC,15,18,22,0.6512029912750412,1.2076001070928575,0.7219572738367754,18.33462262961717
36,Creighton,Big East,18,34,24,1.2580102723522535,0.8686212767251311,1.2153060506672535,53.620872813060416
37,Bellarmine,ASUN,16,19,19,0.8986400930977138,0.81854744216683,1.0278545707174056,40.21360369756435
38,Michigan,Big Ten,21,26,25,0.8105999398353831,0.7955762184491924,0.9891402013242583,37.44459931718004
39,Lehigh,Patriot,19,23,33,0.7207421810018145,1.1312311529156343,0.7860423598925426,22.918240722519243
40,West Virginia,Sun Belt,22,39,23,1.2489043481581503,0.6595491192007111,1.3558175299511848,63.6708079593721
41,Dayton,Atlantic 10,20,53,21,1.7985739385197723,0.7476121435538807,1.6141811511695627,82.14999308106681
42,Colgate,Patriot,20,25,29,0.7179794985816998,0.941788742511964,0.8555113998519072,27.886940431796237
43,South Carolina,Sun Belt,17,35,19,1.273832342245052,0.7290074894736667,1.312990613291677,60.60765797947029
44,Virginia Tech,ACC,17,30,18,1.3461840106428546,0.6247481682593496,1.4479683860360817,70.2618006102923
45,Virginia,ACC,21,35,25,1.2698161184659575,0.7155069108738293,1.3209338870347926,61.1757922441904
46,Providence,Big East,22,27,22,0.8154393852052413,0.6423587853910806,1.111968588379193,46.229769968851706
47,Mount St. Mary's,MAAC,18,18,33,0.6496977539027387,1.3815969474316696,0.6793386898197102,15.286373421923269
48,Duquesne,Atlantic 10,17,22,17,0.798481425509127,0.7035009997583297,1.047673690490373,41.631145306195634
49,Butler,Big East,17,28,35,1.0125309633229973,1.3187782465973577,0.9108296168527263,31.843517475188065
50,Navy,Patriot,16,17,23,0.6133340100581899,1.0035196449885957,0.7665974858205774,21.52746664237051
