home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
California,1,Sacramento St.,0,ACC,Big West
Penn St.,2,Army West Point,1,Big Ten,Patriot
Creighton,5,Drake,3,Big East,MVC
American,1,Hofstra,4,Patriot,CAA
Butler,1,Western Ill.,1,Big East,OVC
San Jose St.,1,CSU Bakersfield,1,WAC,Big West
Winthrop,1,Furman,2,Big South,SoCon
New Hampshire,0,Western Mich.,1,America East,MVC
USC Upstate,2,ETSU,0,Big South,SoCon
UMass Lowell,2,Central Conn. St.,0,America East,NEC
Wake Forest,3,Central Ark.,2,ACC,ASUN
Belmont,3,Southern Ind.,0,MVC,OVC
Memphis,0,Evansville,3,The American,MVC
Akron,0,Ohio St.,2,Big East,Big Ten
Omaha,3,Fla. Atlantic,2,Summit League,The American
LMU (CA),1,CSUN,2,WCC,Big West
South Fla.,0,Mercer,0,The American,SoCon
Stanford,0,Denver,1,ACC,Summit League
Xavier,4,Cal St. Fullerton,1,Big East,Big West
Syracuse,3,Niagara,0,ACC,MAAC
Virginia,0,Colgate,1,ACC,Patriot
Temple,3,Villanova,2,The American,Big East
Campbell,2,N.C. Wesleyan,0,CAA,Not D1
Pittsburgh,2,Mercyhurst,0,ACC,NEC
UNC Greensboro,1,Coastal Carolina,0,SoCon,Sun Belt
SMU,1,Oral Roberts,1,ACC,Summit League
St. John's (NY),1,Stony Brook,1,Big East,CAA
Northern Ky.,1,Bellarmine,2,Horizon,ASUN
North Carolina,0,California Baptist,0,ACC,WAC
Maryland,0,Georgetown,2,Big Ten,Big East
Houston Christian,0,IU Indy,1,OVC,Horizon
UIC,4,Green Bay,2,MVC,Horizon
UIW,1,Gardner-Webb,1,OVC,Big South
Saint Mary's (CA),2,Cal Poly,0,WCC,Big West
Gonzaga,6,St. Thomas (MN),1,WCC,Summit League
UC San Diego,2,Duke,3,Big West,ACC
UCLA,0,James Madison,0,Big Ten,Sun Belt
VMI,4,Warren Wilson,0,SoCon,Not D1
Eastern Ill.,1,Detroit Mercy,5,OVC,Horizon
Boston College,1,Providence,1,ACC,Big East
Bryant,0,Massachusetts,0,America East,Atlantic 10
Stetson,1,FIU,0,ASUN,The American
Lehigh,1,Rider,0,Patriot,MAAC
West Virginia,4,Saint Francis,0,Sun Belt,NEC
Rutgers,1,Delaware,4,Big Ten,CAA
Elon,5,Radford,0,CAA,Big South
Longwood,2,Liberty,2,Big South,OVC
FDU,4,Fairfield,3,NEC,MAAC
VCU,3,Old Dominion,1,Atlantic 10,Sun Belt
La Salle,0,NJIT,3,Atlantic 10,America East
Michigan St.,0,Bowling Green,1,Big Ten,MVC
Rhode Island,1,Quinnipiac,0,Atlantic 10,MAAC
UMBC,3,Howard,2,America East,NEC
Missouri St.,3,Pacific,0,MVC,WCC
San Diego,3,San Diego St.,0,WCC,WAC
Washington,1,Oregon St.,0,Big Ten,WCC
Northeastern,1,Boston U.,1,CAA,Patriot
Holy Cross,3,Merrimack,0,Patriot,MAAC
Virginia Tech,2,UNC Asheville,0,ACC,Big South
High Point,1,Davidson,1,Big South,Atlantic 10
UAB,1,Georgia St.,0,AAC,Sun Belt
Sacred Heart,1,Fordham,2,MAAC,Atlantic 10
Binghamton,0,William & Mary,3,America East,CAA
Lafayette,1,Siena,0,Patriot,MAAC
Tulsa,1,Louisville,2,AAC,ACC
Green Bay,3,Southern Ind.,2,Horizon,OVC
St. Thomas (MN),1,DePaul,1,Summit League,Big East
Saint Peter's,0,UMass Lowell,3,MAAC,America East
Jacksonville,0,Mercer,1,ASUN,SoCon
Wright St.,4,Lindenwood,1,Horizon,OVC
ETSU,1,Presbyterian,1,SoCon,Big South
Eastern Ill.,0,Purdue Fort Wayne,3,OVC,Horizon
Dayton,3,UNLV,1,Atlantic 10,WAC
Fla. Atlantic,5,Stetson,1,The American,ASUN
Stony Brook,0,Rider,1,CAA,MAAC
Temple,0,Monmouth,2,The American,CAA
Omaha,1,San Francisco,0,Summit League,WCC
Coastal Carolina,0,Elon,3,Sun Belt,CAA
Hofstra,2,Providence,0,CAA,Big East
Queens (NC),1,Wofford,2,ASUN,SoCon
Loyola Maryland,0,Iona,2,Patriot,MAAC
Virginia,5,Saint Joseph's,0,ACC,Atlantic 10
Canisius,1,St. Bonaventure,2,MAAC,Atlantic 10
South Fla.,2,Eckerd,0,The American,Not D1
Colgate,3,Stonehill,1,Patriot,NEC
Campbell,1,Old Dominion,0,CAA,Sun Belt
USC Upstate,1,Col. of Charleston,5,Big South,CAA
Xavier,2,Marshall,0,Big East,Sun Belt
North Carolina,3,FIU,1,ACC,The American
UConn,2,NJIT,1,Big East,America East
Seton Hall,2,UAlbany,1,Big East,America East
Central Conn. St.,0,Bryant,2,NEC,America East
St. John's (NY),2,Manhattan,1,Big East,MAAC
North Florida,3,Winthrop,1,ASUN,Big South
Belmont,2,Northern Ky.,1,MVC,Horizon
Syracuse,2,Charlotte,2,ACC,The American
Indiana,2,Notre Dame,2,Big Ten,ACC
Air Force,1,Army West Point,2,WAC,Patriot
Houston Christian,4,North American,1,OVC,Not D1
Creighton,1,Loyola Chicago,1,Big East,Atlantic 10
Bradley,4,Western Ill.,0,MVC,OVC
Ohio St.,4,SIUE,0,Big Ten,OVC
Wisconsin,5,UIC,1,Big Ten,MVC
Memphis,5,NIU,1,The American,MVC
Utah Valley,3,UC San Diego,1,WAC,Big West
Oral Roberts,1,Cal Poly,0,Summit League,Big West
SMU,1,Saint Louis,0,ACC,Atlantic 10
LMU (CA),1,California,0,WCC,ACC
Stanford,5,Cal St. Fullerton,0,ACC,Big West
Kansas City,0,UC Santa Barbara,3,Summit League,Big West
San Diego St.,2,Mercyhurst,1,WAC,NEC
UC Irvine,1,Vermont,1,Big West,America East
Gonzaga,2,UIW,0,WCC,OVC
San Diego,8,Lipscomb,1,WCC,ASUN
Washington,2,Denver,2,Big Ten,Summit League
UC Riverside,1,Utah Tech,2,Big West,WAC
Michigan St.,1,Villanova,0,Big Ten,Big East
Quinnipiac,2,Columbia,0,MAAC,Ivy League
Georgetown,1,UNC Greensboro,0,Big East,SoCon
Western Mich.,1,Akron,1,MVC,Big East
Drexel,3,La Salle,2,CAA,Atlantic 10
Yale,0,Marquette,1,Ivy League,Big East
UMBC,4,Niagara,0,America East,MAAC
Cleveland St.,3,Chicago St.,1,Horizon,NEC
Brown,2,Lehigh,1,Ivy League,Patriot
Navy,0,FDU,0,Patriot,NEC
Boston College,2,Dartmouth,1,ACC,Ivy League
South Carolina,2,Clemson,2,Sun Belt,ACC
West Virginia,4,George Washington,0,Sun Belt,Atlantic 10
UNCW,1,American,0,CAA,Patriot
Furman,2,North Greenville,1,SoCon,Not D1
Ga. Southern,2,FGCU,0,Sun Belt,ASUN
George Mason,4,Delaware,2,Atlantic 10,CAA
IU Indy,1,Bowling Green,4,Horizon,MVC
Duke,2,Grand Canyon,3,ACC,WAC
Michigan,1,Oregon St.,1,Big Ten,WCC
Rutgers,3,Princeton,1,Big Ten,Ivy League
Penn St.,1,Pittsburgh,2,Big Ten,ACC
Maryland,5,Detroit Mercy,2,Big Ten,Horizon
Northwestern,2,Drake,1,Big Ten,MVC
UCLA,2,Portland,0,Big Ten,WCC
Butler,2,Oakland,1,Big East,Horizon
Bucknell,2,Mount St. Mary's,0,Patriot,MAAC
Bradley,1,Purdue Fort Wayne,0,MVC,Horizon
Harvard,1,Holy Cross,1,Ivy League,Patriot
Cornell,3,Marist,0,Ivy League,MAAC
New Hampshire,3,William & Mary,2,America East,CAA
UCF,1,Wake Forest,1,Sun Belt,ACC
James Madison,2,NC State,2,Sun Belt,ACC
Fairfield,2,Lafayette,3,MAAC,Patriot
VCU,1,High Point,1,Atlantic 10,Big South
UC Davis,2,Santa Clara,1,Big West,WCC
California Baptist,4,CSU Bakersfield,1,WAC,Big West
Northeastern,0,Siena,0,CAA,MAAC
Saint Francis,1,Wright St.,3,NEC,Horizon
Stonehill,0,Rhode Island,1,NEC,Atlantic 10
Seton Hall,1,Manhattan,0,Big East,MAAC
Fordham,3,Colgate,2,Atlantic 10,Patriot
Omaha,1,Loyola Chicago,0,Summit League,Atlantic 10
NIU,1,Green Bay,2,MVC,Horizon
Liberty,1,Georgia St.,2,OVC,Sun Belt
Duke,14,Averett,1,ACC,Not D1
Xavier,0,Duquesne,1,Big East,Atlantic 10
Merrimack,0,Boston College,1,MAAC,ACC
UAB,1,Northern Ky.,1,AAC,Horizon
Dayton,4,SIUE,0,Atlantic 10,OVC
UNC Asheville,3,VMI,0,Big South,SoCon
Gardner-Webb,3,Barton,1,Big South,Not D1
Western Ill.,2,Quincy,0,OVC,Not D1
UMass Lowell,1,Boston U.,1,America East,Patriot
Jacksonville,1,Winthrop,1,ASUN,Big South
Fla. Atlantic,3,Belmont,1,The American,MVC
Monmouth,1,Iona,1,CAA,MAAC
UConn,0,LIU,0,Big East,NEC
Old Dominion,1,Radford,0,Sun Belt,Big South
Penn,1,Pittsburgh,0,Ivy League,ACC
SMU,2,Denver,2,ACC,Summit League
Creighton,4,San Francisco,2,Big East,WCC
Memphis,0,Central Ark.,3,The American,ASUN
UC Irvine,3,Mercyhurst,1,Big West,NEC
Ohio St.,3,UNLV,2,Big Ten,WAC
North Florida,0,Mercer,0,ASUN,SoCon
St. John's (NY),3,UAlbany,0,Big East,America East
Tulsa,3,Cal Poly,2,AAC,Big West
Evansville,3,Southern Ind.,1,MVC,OVC
Oral Roberts,2,UC Santa Barbara,1,Summit League,Big West
Stanford,4,Saint Mary's (CA),1,ACC,WCC
Indiana,2,Yale,0,Big Ten,Ivy League
Cal St. Fullerton,6,Utah Tech,1,Big West,WAC
San Jose St.,2,Sacramento St.,1,WAC,Big West
Air Force,1,Washington,2,WAC,Big Ten
Gonzaga,2,Houston Christian,1,WCC,OVC
CSUN,0,California,1,Big West,ACC
UC San Diego,2,Lipscomb,2,Big West,ASUN
UC Riverside,0,Pacific,2,Big West,WCC
Michigan St.,1,Oregon St.,2,Big Ten,WCC
Georgetown,0,FIU,0,Big East,The American
Marshall,6,Loyola Maryland,1,Sun Belt,Patriot
Canisius,3,Central Conn. St.,0,MAAC,NEC
