home_team,home_team_score,away_team,away_team_score,home_team_conference,away_team_conference
Purdue Fort Wayne,10,Ind.-East,0,Horizon,Not D1
Campbell,1,VCU,1,CAA,Atlantic 10
CSU Bakersfield,0,UNLV,1,Big West,WAC
California Baptist,3,CSUN,3,WAC,Big West
Presbyterian,3,VMI,0,Big South,SoCon
Sacramento St.,1,San Francisco,0,Big West,WCC
UTRGV,1,Jacksonville,1,WAC,ASUN
Saint Mary's (CA),0,UC Davis,2,WCC,Big West
UIC,2,Loyola Chicago,0,MVC,Atlantic 10
Marquette,1,Edgewood,0,Big East,Not D1
San Jose St.,1,UC San Diego,1,WAC,Big West
Seattle U,1,Gonzaga,2,WAC,WCC
Santa Clara,1,Grand Canyon,1,WCC,WAC
DePaul,2,Mercyhurst,3,Big East,NEC
Memphis,1,SIUE,1,The American,OVC
Siena,0,Xavier,0,MAAC,Big East
Fla. Atlantic,2,North Florida,0,The American,ASUN
NC State,1,Stetson,1,ACC,ASUN
Boston College,0,Clemson,1,ACC,ACC
Ohio St.,1,Butler,0,Big Ten,Big East
Marist,2,Fordham,1,MAAC,Atlantic 10
Duke,1,North Carolina,2,ACC,ACC
Dartmouth,1,UConn,2,Ivy League,Big East
UNC Greensboro,0,Charlotte,0,SoCon,The American
Michigan,2,Penn St.,1,Big Ten,Big Ten
Pittsburgh,3,Louisville,2,ACC,ACC
Georgia St.,3,USC Upstate,2,Sun Belt,Big South
UMBC,4,Saint Joseph's,0,America East,Atlantic 10
William & Mary,0,Penn,2,CAA,Ivy League
Bowling Green,2,NIU,1,MVC,MVC
Wake Forest,1,Virginia,1,ACC,ACC
Kansas City,3,Mercer,3,Summit League,SoCon
California,1,SMU,2,ACC,ACC
Michigan St.,1,Washington,0,Big Ten,Big Ten
Rutgers,0,Indiana,1,Big Ten,Big Ten
Maryland,3,Wisconsin,0,Big Ten,Big Ten
Syracuse,0,Virginia Tech,2,ACC,ACC
Northwestern,0,UCLA,1,Big Ten,Big Ten
UIW,4,Our Lady of the Lake,0,OVC,Not D1
UC Irvine,0,San Diego,1,Big West,WCC
Utah Valley,1,Cal Poly,1,WAC,Big West
Utah Tech,1,Lindenwood,2,WAC,OVC
UC Santa Barbara,0,New Hampshire,0,Big West,America East
Cal St. Fullerton,2,LMU (CA),2,Big West,WCC
Portland,0,Saint Louis,2,WCC,Atlantic 10
Georgetown,2,LIU,2,Big East,NEC
Bucknell,2,Navy,1,Patriot,Patriot
Boston U.,3,Army West Point,2,Patriot,Patriot
Massachusetts,1,Brown,0,Atlantic 10,Ivy League
Stonehill,1,St. Thomas (MN),2,NEC,Summit League
Akron,0,Temple,1,Big East,The American
Hofstra,3,UNCW,0,CAA,CAA
Iona,1,Binghamton,2,MAAC,America East
Drexel,1,Northeastern,0,CAA,CAA
Wofford,1,Winthrop,0,SoCon,Big South
American,2,Loyola Maryland,0,Patriot,Patriot
Stony Brook,2,Col. of Charleston,4,CAA,CAA
Quinnipiac,0,La Salle,0,MAAC,Atlantic 10
Campbell,2,Monmouth,2,CAA,CAA
Delaware,3,Elon,4,CAA,CAA
Davidson,0,UNC Asheville,3,Atlantic 10,Big South
Robert Morris,0,Northern Ky.,0,Horizon,Horizon
Green Bay,5,Detroit Mercy,1,Horizon,Horizon
Canisius,3,Saint Francis,3,MAAC,NEC
Wright St.,2,IU Indy,0,Horizon,Horizon
Colgate,2,Lafayette,1,Patriot,Patriot
Purdue Fort Wayne,2,Milwaukee,0,Horizon,Horizon
VMI,2,Howard,1,SoCon,NEC
UAlbany,2,Cornell,2,America East,Ivy League
Holy Cross,2,Lehigh,1,Patriot,Patriot
Central Conn. St.,1,Rhode Island,1,NEC,Atlantic 10
Vermont,5,Fairfield,0,America East,MAAC
Oakland,2,Cleveland St.,1,Horizon,Horizon
Rider,2,NJIT,1,MAAC,America East
Seton Hall,3,Harvard,2,Big East,Ivy League
Columbia,0,Sacred Heart,1,Ivy League,MAAC
FDU,2,Villanova,2,NEC,Big East
Notre Dame,0,Stanford,1,ACC,ACC
Niagara,4,St. Bonaventure,2,MAAC,Atlantic 10
Merrimack,1,UMass Lowell,2,MAAC,America East
Mount St. Mary's,1,Longwood,1,MAAC,Big South
James Madison,2,Liberty,0,Sun Belt,OVC
Coastal Carolina,0,Gardner-Webb,1,Sun Belt,Big South
Creighton,3,Tulsa,0,Big East,AAC
Marshall,1,St. John's (NY),1,Sun Belt,Big East
Bryant,1,Providence,2,America East,Big East
Southern Ind.,0,Bellarmine,8,OVC,ASUN
Oral Roberts,2,Houston Christian,2,Summit League,OVC
Evansville,1,Drake,2,MVC,MVC
Lipscomb,2,Kentucky,2,ASUN,Sun Belt
Denver,4,Yale,1,Summit League,Ivy League
UC Santa Barbara,2,Westmont,2,Big West,Not D1
High Point,3,FGCU,0,Big South,ASUN
Belmont,1,Western Mich.,1,MVC,MVC
Oregon St.,4,San Diego St.,1,WCC,WAC
UCF,0,South Fla.,0,Sun Belt,The American
Old Dominion,1,George Mason,0,Sun Belt,Atlantic 10
UC Davis,2,San Francisco,1,Big West,WCC
Ga. Southern,2,UAB,2,Sun Belt,AAC
South Carolina,2,ETSU,0,Sun Belt,SoCon
Central Ark.,1,FIU,3,ASUN,The American
Saint Mary's (CA),2,Sacramento St.,4,WCC,Big West
Missouri St.,1,Bradley,0,MVC,MVC
UIC,2,Marquette,0,MVC,Big East
Gonzaga,2,Western Ill.,3,WCC,OVC
UC San Diego,3,Air Force,0,Big West,WAC
UNLV,1,CSUN,0,WAC,Big West
Grand Canyon,1,Cal St. Fullerton,1,WAC,Big West
Santa Clara,2,San Jose St.,1,WCC,WAC
NIU,1,Mercyhurst,0,MVC,NEC
California,5,Dominican (CA),0,ACC,Not D1
Holy Cross,2,Clemson,2,Patriot,ACC
VCU,2,Penn,0,Atlantic 10,Ivy League
Fordham,2,Manhattan,2,Atlantic 10,MAAC
Michigan,1,Washington,1,Big Ten,Big Ten
SMU,2,UIW,0,ACC,OVC
Utah Valley,3,Lindenwood,1,WAC,OVC
Wisconsin,4,UCLA,1,Big Ten,Big Ten
Utah Tech,1,Cal Poly,1,WAC,Big West
California Baptist,0,San Diego,2,WAC,WCC
Green Bay,2,Wis.-Parkside,1,Horizon,Not D1
Iona,4,George Washington,1,MAAC,Atlantic 10
Southern Ind.,0,Purdue Fort Wayne,1,OVC,Horizon
LIU,1,Monmouth,1,NEC,CAA
Saint Peter's,1,Binghamton,3,MAAC,America East
Robert Morris,3,Duquesne,0,Horizon,Atlantic 10
Oakland,2,Loyola Chicago,1,Horizon,Atlantic 10
Boston College,3,Siena,1,ACC,MAAC
Saint Joseph's,0,Bryant,1,Atlantic 10,America East
Col. of Charleston,2,Furman,4,CAA,SoCon
La Salle,1,Rider,3,Atlantic 10,MAAC
NC State,4,UNCW,1,ACC,CAA
Northeastern,0,Harvard,0,CAA,Ivy League
Yale,1,Rutgers,1,Ivy League,Big Ten
Penn St.,0,Ohio St.,5,Big Ten,Big Ten
Davidson,2,Mercer,1,Atlantic 10,SoCon
FDU,0,Drexel,2,NEC,CAA
Princeton,3,Colgate,1,Ivy League,Patriot
Cleveland St.,0,Pittsburgh,4,Horizon,ACC
Wright St.,2,Eastern Ill.,2,Horizon,OVC
Lafayette,2,UAlbany,1,Patriot,America East
Cornell,3,Bucknell,0,Ivy League,Patriot
Syracuse,5,Canisius,1,ACC,MAAC
Brown,5,Boston U.,1,Ivy League,Patriot
Dartmouth,0,Massachusetts,5,Ivy League,Atlantic 10
Charlotte,1,Campbell,0,The American,CAA
Radford,1,Queens (NC),2,Big South,ASUN
North Florida,3,USC Upstate,2,ASUN,Big South
Wofford,0,Georgia St.,2,SoCon,Sun Belt
Northern Ky.,1,Bowling Green,1,Horizon,MVC
West Virginia,2,UNC Greensboro,2,Sun Belt,SoCon
Mount St. Mary's,1,James Madison,2,MAAC,Sun Belt
American,4,UMBC,3,Patriot,America East
Hofstra,1,New Hampshire,0,CAA,America East
Wake Forest,1,Elon,1,ACC,CAA
Indiana,1,Evansville,1,Big Ten,MVC
Omaha,1,Drake,1,Summit League,MVC
Saint Louis,2,Lipscomb,2,Atlantic 10,ASUN
St. Bonaventure,1,Le Moyne,1,Atlantic 10,NEC
Dayton,1,Western Mich.,1,Atlantic 10,MVC
NJIT,4,Central Conn. St.,0,America East,NEC
Columbia,1,Fairfield,3,Ivy League,MAAC
Houston Christian,1,UTRGV,0,OVC,WAC
SIUE,2,Bradley,0,OVC,MVC
Cal St. Fullerton,1,Gonzaga,1,Big West,WCC
Stanford,1,UC Davis,0,ACC,Big West
Utah Valley,1,UC Santa Barbara,4,WAC,Big West
Denver,0,Portland,0,Summit League,WCC
San Diego,1,Grand Canyon,0,WCC,WAC
Oregon St.,2,Seattle U,2,WCC,WAC
UNLV,2,Kansas City,3,WAC,Summit League
Santa Clara,1,Sacramento St.,2,WCC,Big West
DePaul,2,UConn,3,Big East,Big East
Villanova,2,Marquette,3,Big East,Big East
Western Ill.,4,NIU,0,OVC,MVC
South Fla.,1,FIU,0,The American,The American
VCU,2,Rhode Island,0,Atlantic 10,Atlantic 10
Akron,4,Butler,3,Big East,Big East
Pittsburgh,2,Boston College,0,ACC,ACC
South Carolina,1,Marshall,2,Sun Belt,Sun Belt
Providence,1,Seton Hall,0,Big East,Big East
North Carolina,2,NC State,0,ACC,ACC
High Point,2,UNC Asheville,1,Big South,Big South
Creighton,0,Georgetown,1,Big East,Big East
Notre Dame,6,Chicago St.,1,ACC,NEC
Louisville,1,Syracuse,1,ACC,ACC
Xavier,1,St. John's (NY),0,Big East,Big East
Indiana,0,Maryland,1,Big Ten,Big Ten
Penn St.,2,Michigan St.,1,Big Ten,Big Ten
Kentucky,0,Ga. Southern,0,Sun Belt,Sun Belt
Clemson,1,Wake Forest,0,ACC,ACC
SMU,2,Virginia Tech,0,ACC,ACC
Tulsa,1,Memphis,2,AAC,The American
Air Force,0,UC Riverside,2,WAC,Big West
San Jose St.,0,Saint Mary's (CA),0,WAC,WCC
LMU (CA),1,California Baptist,0,WCC,WAC
Washington,2,Northwestern,0,Big Ten,Big Ten
Elon,2,Stony Brook,1,CAA,CAA
Massachusetts,1,George Mason,2,Atlantic 10,Atlantic 10
Northeastern,0,William & Mary,2,CAA,CAA
Binghamton,2,Central Conn. St.,1,America East,NEC
Northern Ky.,1,Oakland,1,Horizon,Horizon
George Washington,0,Duquesne,1,Atlantic 10,Atlantic 10
Saint Joseph's,0,Davidson,2,Atlantic 10,Atlantic 10
Purdue Fort Wayne,2,Green Bay,0,Horizon,Horizon
Col. of Charleston,1,Delaware,0,CAA,CAA
Lafayette,1,Navy,2,Patriot,Patriot
Rider,2,Mercyhurst,0,MAAC,NEC
Saint Peter's,0,VMI,0,MAAC,SoCon
Howard,2,UC San Diego,2,NEC,Big West
Milwaukee,3,Wright St.,3,Horizon,Horizon
UNCW,2,Drexel,1,CAA,CAA
IU Indy,2,Robert Morris,3,Horizon,Horizon
Loyola Maryland,2,Boston U.,2,Patriot,Patriot
Le Moyne,1,Niagara,1,NEC,MAAC
Loyola Chicago,2,Dayton,2,Atlantic 10,Atlantic 10
Colgate,1,American,1,Patriot,Patriot
Bucknell,0,Holy Cross,0,Patriot,Patriot
Siena,3,NJIT,0,MAAC,America East
Queens (NC),0,Lipscomb,0,ASUN,ASUN
Yale,4,Sacred Heart,1,Ivy League,MAAC
Dartmouth,2,Bryant,1,Ivy League,America East
Penn,1,Manhattan,0,Ivy League,MAAC
FGCU,1,Jacksonville,0,ASUN,ASUN
UCLA,3,Michigan,3,Big Ten,Big Ten
Vermont,5,Harvard,0,America East,Ivy League
Columbia,0,FDU,1,Ivy League,NEC
Cleveland St.,2,Detroit Mercy,2,Horizon,Horizon
Marist,3,LIU,2,MAAC,NEC
La Salle,0,Saint Louis,0,Atlantic 10,Atlantic 10
Gardner-Webb,2,Radford,1,Big South,Big South
Temple,0,Charlotte,1,The American,The American
Brown,5,Stonehill,3,Ivy League,NEC
Cornell,1,UMBC,0,Ivy League,America East
USC Upstate,0,Winthrop,2,Big South,Big South
Bellarmine,0,Central Ark.,1,ASUN,ASUN
Old Dominion,0,West Virginia,1,Sun Belt,Sun Belt
Stetson,2,North Florida,1,ASUN,ASUN
Georgia St.,0,Coastal Carolina,1,Sun Belt,Sun Belt
Army West Point,2,Lehigh,3,Patriot,Patriot
Monmouth,2,Hofstra,1,CAA,CAA
California,1,Virginia,1,ACC,ACC
James Madison,2,UCF,0,Sun Belt,Sun Belt
Gonzaga,1,CSU Bakersfield,1,WCC,Big West
Oral Roberts,6,UTRGV,0,Summit League,WAC
Bradley,1,Bowling Green,2,MVC,MVC
UIC,1,Missouri St.,3,MVC,MVC
UAB,3,Fla. Atlantic,2,AAC,The American
UC Irvine,4,Utah Tech,2,Big West,WAC
San Diego St.,3,UC Davis,3,WAC,Big West
St. Bonaventure,0,Fordham,0,Atlantic 10,Atlantic 10
Presbyterian,1,Longwood,3,Big South,Big South
SIUE,0,Omaha,1,OVC,Summit League
St. Thomas (MN),1,Lindenwood,2,Summit League,OVC
Drake,4,Belmont,0,MVC,MVC
Western Mich.,2,Evansville,1,MVC,MVC
Ohio St.,3,Rutgers,0,Big Ten,Big Ten
CSUN,2,Santa Clara,1,Big West,WCC
Sacramento St.,1,Pacific,1,Big West,WCC
San Diego,0,Cal St. Fullerton,2,WCC,Big West
Denver,2,Seattle U,1,Summit League,WAC
Stanford,2,Duke,2,ACC,ACC
UC Santa Barbara,3,Portland,0,Big West,WCC
Grand Canyon,0,LMU (CA),1,WAC,WCC
San Francisco,4,San Jose St.,0,WCC,WAC
St. Bonaventure,2,Robert Morris,1,Atlantic 10,Horizon
Georgetown,2,Princeton,0,Big East,Ivy League
Villanova,2,Penn,2,Big East,Ivy League
Quinnipiac,1,Yale,2,MAAC,Ivy League
UNC Asheville,1,ETSU,1,Big South,SoCon
Bryant,1,Holy Cross,0,America East,Patriot
UMass Lowell,0,Northeastern,0,America East,CAA
Boston U.,1,Boston College,1,Patriot,ACC
UConn,0,Fairfield,0,Big East,MAAC
Navy,1,UC San Diego,1,Patriot,Big West
Duquesne,2,Mount St. Mary's,1,Atlantic 10,MAAC
Saint Joseph's,2,Temple,0,Atlantic 10,The American
Campbell,0,UNCW,0,CAA,CAA
Seton Hall,2,Lehigh,0,Big East,Patriot
Syracuse,0,Cornell,1,ACC,Ivy League
Notre Dame,3,Detroit Mercy,1,ACC,Horizon
La Salle,3,Lafayette,1,Atlantic 10,Patriot
Louisville,1,UAB,2,ACC,AAC
Xavier,2,Evansville,0,Big East,MVC
Jacksonville,0,Fla. Atlantic,0,ASUN,The American
Butler,2,Wright St.,3,Big East,Horizon
Merrimack,1,Dartmouth,2,MAAC,Ivy League
Stetson,2,Eckerd,3,ASUN,Not D1
Howard,1,George Washington,1,NEC,Atlantic 10
St. John's (NY),1,Penn St.,2,Big East,Big Ten
Akron,8,Saint Francis,0,Big East,NEC
South Carolina,3,Queens (NC),0,Sun Belt,ASUN
North Carolina,0,Mercer,0,ACC,SoCon
George Mason,1,William & Mary,0,Atlantic 10,CAA
IU Indy,1,Western Ill.,2,Horizon,OVC
Ga. Southern,2,Col. of Charleston,1,Sun Belt,CAA
Bowling Green,5,Eastern Ill.,0,MVC,OVC
Providence,2,Brown,1,Big East,Ivy League
Clemson,1,Liberty,0,ACC,OVC
James Madison,5,Radford,0,Sun Belt,Big South
Loyola Maryland,0,Hofstra,3,Patriot,CAA
Rhode Island,2,UAlbany,1,Atlantic 10,America East
Kansas City,4,Tulsa,0,Summit League,AAC
Loyola Chicago,1,DePaul,3,Atlantic 10,Big East
NIU,0,Milwaukee,2,MVC,Horizon
UCLA,5,Westmont,1,Big Ten,Not D1
Marshall,1,VCU,0,Sun Belt,Atlantic 10
SMU,1,FIU,1,ACC,The American
Southern Ind.,1,Rose-Hulman,0,OVC,Not D1
Utah Valley,0,Oregon St.,1,WAC,WCC
California Baptist,0,UC Riverside,0,WAC,Big West
Pacific,1,CSU Bakersfield,2,WCC,Big West
UNLV,2,Cal St. Fullerton,4,WAC,Big West
Stony Brook,0,Northeastern,0,CAA,CAA
NC State,1,Duke,2,ACC,ACC
Longwood,8,USC Upstate,2,Big South,Big South
Syracuse,1,Wake Forest,2,ACC,ACC
Notre Dame,2,Clemson,1,ACC,ACC
West Virginia,0,Kentucky,0,Sun Belt,Sun Belt
Charlotte,4,South Fla.,1,The American,The American
Bowling Green,1,Belmont,0,MVC,MVC
Virginia,0,Stanford,1,ACC,ACC
Northwestern,1,Maryland,2,Big Ten,Big Ten
Portland,1,Sacramento St.,1,WCC,Big West
Ohio St.,2,Indiana,2,Big Ten,Big Ten
San Jose St.,2,UC Davis,2,WAC,Big West
Seattle U,4,CSUN,3,WAC,Big West
UCLA,0,Michigan St.,1,Big Ten,Big Ten
Washington,0,Wisconsin,0,Big Ten,Big Ten
Delaware,3,Campbell,1,CAA,CAA
Iona,1,Rider,0,MAAC,MAAC
Western Mich.,1,Missouri St.,1,MVC,MVC
Sacred Heart,3,Niagara,1,MAAC,MAAC
Robert Morris,1,Milwaukee,0,Horizon,Horizon
Georgetown,0,Akron,1,Big East,Big East
Mount St. Mary's,2,Merrimack,1,MAAC,MAAC
Davidson,1,La Salle,3,Atlantic 10,Atlantic 10
Vermont,1,New Hampshire,1,America East,America East
Manhattan,3,Canisius,0,MAAC,MAAC
Col. of Charleston,0,Monmouth,0,CAA,CAA
Green Bay,3,Cleveland St.,2,Horizon,Horizon
St. Thomas (MN),0,Kansas City,3,Summit League,Summit League
Hofstra,2,Elon,1,CAA,CAA
Army West Point,1,Lafayette,2,Patriot,Patriot
Oakland,0,IU Indy,0,Horizon,Horizon
Navy,2,Colgate,2,Patriot,Patriot
Dartmouth,2,Brown,1,Ivy League,Ivy League
Princeton,2,Harvard,0,Ivy League,Ivy League
Rutgers,1,Michigan,1,Big Ten,Big Ten
Siena,2,Saint Peter's,0,MAAC,MAAC
Yale,1,Cornell,0,Ivy League,Ivy League
Duquesne,2,Saint Joseph's,1,Atlantic 10,Atlantic 10
Cal Poly,2,UC Santa Barbara,0,Big West,Big West
Queens (NC),1,Central Ark.,0,ASUN,ASUN
UMass Lowell,2,UAlbany,0,America East,America East
Lehigh,3,Boston U.,1,Patriot,Patriot
Binghamton,0,UMBC,2,America East,America East
NJIT,0,Bryant,3,America East,America East
Detroit Mercy,1,Northern Ky.,1,Horizon,Horizon
Fordham,2,Massachusetts,3,Atlantic 10,Atlantic 10
Wright St.,4,Purdue Fort Wayne,0,Horizon,Horizon
Fairfield,2,Marist,1,MAAC,MAAC
North Florida,4,Jacksonville,3,ASUN,ASUN
UConn,0,Seton Hall,0,Big East,Big East
St. John's (NY),2,Villanova,1,Big East,Big East
Stetson,2,FGCU,0,ASUN,ASUN
Liberty,7,Western Ill.,1,OVC,OVC
Mercer,3,Air Force,0,SoCon,WAC
William & Mary,4,UNCW,0,CAA,CAA
Penn,1,Columbia,0,Ivy League,Ivy League
Providence,2,Creighton,2,Big East,Big East
American,0,Bucknell,1,Patriot,Patriot
George Mason,5,George Washington,2,Atlantic 10,Atlantic 10
Coastal Carolina,1,South Carolina,2,Sun Belt,Sun Belt
High Point,3,Radford,1,Big South,Big South
Virginia Tech,0,Pittsburgh,2,ACC,ACC
North Carolina,2,California,1,ACC,ACC
Rhode Island,4,St. Bonaventure,3,Atlantic 10,Atlantic 10
DePaul,0,Xavier,0,Big East,Big East
Houston Christian,2,UIW,1,OVC,OVC
NIU,2,UIC,4,MVC,MVC
SIUE,2,Lindenwood,0,OVC,OVC
Memphis,2,UAB,0,The American,AAC
Marquette,2,Butler,0,Big East,Big East
Bradley,0,Evansville,2,MVC,MVC
Oral Roberts,1,Omaha,0,Summit League,Summit League
Saint Louis,2,Loyola Chicago,1,Atlantic 10,Atlantic 10
UC Irvine,2,San Diego St.,0,Big West,WAC
LMU (CA),1,Gonzaga,0,WCC,WCC
Santa Clara,0,Oregon St.,2,WCC,WCC
San Diego,4,Saint Mary's (CA),2,WCC,WCC
Le Moyne,2,FDU,2,NEC,NEC
Saint Francis,2,Stonehill,0,NEC,NEC
Fla. Atlantic,1,Temple,1,The American,The American
Holy Cross,1,Loyola Maryland,2,Patriot,Patriot
Chicago St.,0,LIU,0,NEC,NEC
Howard,4,Central Conn. St.,1,NEC,NEC
Boston College,1,Louisville,1,ACC,ACC
San Francisco,2,Pacific,0,WCC,WCC
Marshall,2,Old Dominion,1,Sun Belt,Sun Belt
Southern Ind.,2,Eastern Ill.,1,OVC,OVC
Lipscomb,2,Bellarmine,0,ASUN,ASUN
UCF,2,Georgia St.,1,Sun Belt,Sun Belt
FIU,3,Tulsa,1,The American,AAC
SMU,3,UTRGV,2,ACC,WAC
Virginia,1,UNC Greensboro,2,ACC,SoCon
Quinnipiac,9,Farmingdale St.,0,MAAC,Not D1
Robert Morris,5,Canisius,1,Horizon,MAAC
Notre Dame,7,Trine,1,ACC,Not D1
Western Mich.,7,Olivet,0,MVC,Not D1
Virginia Tech,4,Queens (NC),0,ACC,ASUN
Army West Point,2,Rider,0,Patriot,MAAC
Vermont,2,Massachusetts,2,America East,Atlantic 10
Lehigh,2,Marist,1,Patriot,MAAC
New Hampshire,1,Northeastern,1,America East,CAA
Bucknell,0,West Virginia,1,Patriot,Sun Belt
Maryland,1,Penn St.,1,Big Ten,Big Ten
Stony Brook,6,St. Joseph's (L.I.),0,CAA,Not D1
Elon,0,High Point,1,CAA,Big South
Milwaukee,2,Drake,1,Horizon,MVC
Wake Forest,2,ETSU,0,ACC,SoCon
Harvard,3,Merrimack,1,Ivy League,MAAC
NJIT,2,Delaware,2,America East,CAA
UAlbany,1,Syracuse,3,America East,ACC
Longwood,1,Campbell,3,Big South,CAA
Cornell,5,Binghamton,2,Ivy League,America East
Jacksonville,2,Ga. Southern,1,ASUN,Sun Belt
VCU,1,American,1,Atlantic 10,Patriot
Creighton,0,Missouri St.,1,Big East,MVC
UMBC,0,Drexel,5,America East,CAA
Rhode Island,0,Bryant,0,Atlantic 10,America East
Princeton,1,Monmouth,0,Ivy League,CAA
Belmont,0,Memphis,1,MVC,The American
Wisconsin,2,Indiana,3,Big Ten,Big Ten
Saint Louis,0,Charlotte,0,Atlantic 10,The American
Michigan St.,1,Northwestern,0,Big Ten,Big Ten
CSU Bakersfield,3,Sacramento St.,0,Big West,Big West
UC Davis,0,Cal Poly,1,Big West,Big West
Pittsburgh,8,Howard,1,ACC,NEC
FGCU,6,Keiser,1,ASUN,Not D1
Radford,1,VMI,1,Big South,SoCon
Yale,6,Albertus Magnus,0,Ivy League,Not D1
Denver,3,Oral Roberts,2,Summit League,Summit League
Omaha,2,St. Thomas (MN),1,Summit League,Summit League
UC Irvine,0,Cal St. Fullerton,2,Big West,Big West
UC Santa Barbara,3,UC San Diego,1,Big West,Big West
CSUN,1,UC Riverside,1,Big West,Big West
Central Conn. St.,1,Mercyhurst,2,NEC,NEC
Southern Ind.,0,Lindenwood,2,OVC,OVC
California,3,Louisville,3,ACC,ACC
Utah Valley,1,Seattle U,2,WAC,WAC
SIUE,3,Eastern Ill.,0,OVC,OVC
Air Force,0,San Jose St.,3,WAC,WAC
Chicago St.,0,Le Moyne,4,NEC,NEC
Houston Christian,3,Western Ill.,0,OVC,OVC
UIW,0,Liberty,2,OVC,OVC
Utah Tech,1,California Baptist,2,WAC,WAC
UNLV,0,San Diego St.,1,WAC,WAC
Georgetown,3,Providence,0,Big East,Big East
Villanova,0,UConn,3,Big East,Big East
VMI,2,Regent,0,SoCon,Not D1
IU Indy,1,Detroit Mercy,0,Horizon,Horizon
Akron,1,Xavier,0,Big East,Big East
Coastal Carolina,0,Ga. Southern,5,Sun Belt,Sun Belt
Clemson,3,North Carolina,2,ACC,ACC
Seton Hall,1,Marquette,0,Big East,Big East
Butler,1,St. John's (NY),2,Big East,Big East
Duke,2,SMU,2,ACC,ACC
Virginia,2,Virginia Tech,1,ACC,ACC
Creighton,0,DePaul,2,Big East,Big East
Michigan,3,Ohio St.,6,Big Ten,Big Ten
Indiana,2,Washington,2,Big Ten,Big Ten
Marshall,2,James Madison,2,Sun Belt,Sun Belt
Winthrop,2,Longwood,1,Big South,Big South
South Carolina,0,Kentucky,2,Sun Belt,Sun Belt
Penn St.,2,UCLA,2,Big Ten,Big Ten
Wisconsin,1,Rutgers,3,Big Ten,Big Ten
Tulsa,2,Fla. Atlantic,1,AAC,The American
Gonzaga,1,San Diego,2,WCC,WCC
Stanford,0,NC State,0,ACC,ACC
Portland,0,Santa Clara,0,WCC,WCC
Oregon St.,4,Pacific,1,WCC,WCC
Bryant,1,New Hampshire,2,America East,America East
Manhattan,1,Mount St. Mary's,2,MAAC,MAAC
Army West Point,1,American,2,Patriot,Patriot
Campbell,6,Stony Brook,0,CAA,CAA
Harvard,0,Penn,1,Ivy League,Ivy League
Massachusetts,4,Saint Joseph's,0,Atlantic 10,Atlantic 10
Wofford,3,Gardner-Webb,2,SoCon,Big South
Purdue Fort Wayne,2,Robert Morris,1,Horizon,Horizon
Drexel,5,Hofstra,4,CAA,CAA
Navy,3,Loyola Maryland,2,Patriot,Patriot
Canisius,1,Saint Peter's,1,MAAC,MAAC
Wright St.,1,Green Bay,2,Horizon,Horizon
Drake,1,Western Mich.,1,MVC,MVC
Milwaukee,4,Oakland,1,Horizon,Horizon
Niagara,3,Siena,3,MAAC,MAAC
Iona,1,Fairfield,1,MAAC,MAAC
Radford,2,Presbyterian,3,Big South,Big South
Denver,5,St. Thomas (MN),0,Summit League,Summit League
Loyola Chicago,0,Rhode Island,1,Atlantic 10,Atlantic 10
Boston U.,1,Lafayette,1,Patriot,Patriot
Merrimack,1,Rider,2,MAAC,MAAC
Cornell,3,Dartmouth,0,Ivy League,Ivy League
Saint Mary's (CA),1,LMU (CA),1,WCC,WCC
Omaha,1,Kansas City,1,Summit League,Summit League
Colgate,1,Holy Cross,0,Patriot,Patriot
UC Davis,0,UC Irvine,1,Big West,Big West
St. Bonaventure,3,Davidson,1,Atlantic 10,Atlantic 10
Brown,1,Princeton,2,Ivy League,Ivy League
UAlbany,1,Vermont,4,America East,America East
FGCU,2,North Florida,2,ASUN,ASUN
Dayton,7,George Washington,1,Atlantic 10,Atlantic 10
Elon,2,William & Mary,1,CAA,CAA
Bucknell,2,Lehigh,2,Patriot,Patriot
Bellarmine,0,Queens (NC),0,ASUN,ASUN
Columbia,1,Yale,0,Ivy League,Ivy League
USC Upstate,1,High Point,4,Big South,Big South
VCU,0,Fordham,1,Atlantic 10,Atlantic 10
Sacred Heart,1,Quinnipiac,3,MAAC,MAAC
Syracuse,2,Notre Dame,1,ACC,ACC
Jacksonville,0,Stetson,0,ASUN,ASUN
NJIT,2,Binghamton,1,America East,America East
Belmont,0,Bradley,1,MVC,MVC
Old Dominion,0,Georgia St.,0,Sun Belt,Sun Belt
Wake Forest,2,Boston College,0,ACC,ACC
La Salle,1,George Mason,2,Atlantic 10,Atlantic 10
Mercer,1,UNC Greensboro,1,SoCon,SoCon
FIU,3,UAB,2,The American,AAC
South Fla.,2,Temple,0,The American,The American
Sacramento St.,2,UC Riverside,1,Big West,Big West
Monmouth,2,Delaware,0,CAA,CAA
UNCW,2,Col. of Charleston,1,CAA,CAA
UMBC,1,UMass Lowell,1,America East,America East
West Virginia,2,UCF,1,Sun Belt,Sun Belt
Northern Ky.,2,Cleveland St.,1,Horizon,Horizon
Maryland,2,Michigan St.,1,Big Ten,Big Ten
Memphis,1,Charlotte,0,The American,The American
UIC,2,Bowling Green,1,MVC,MVC
Saint Louis,3,Duquesne,0,Atlantic 10,Atlantic 10
SIUE,2,Southern Ind.,0,OVC,OVC
Central Ark.,2,Lipscomb,1,ASUN,ASUN
Utah Valley,2,San Jose St.,3,WAC,WAC
