Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Charles Ahl,Stetson,Midfielder,1261,2,5,31,14,47,80
Devon Stopek,Rutgers,Defender,1277,0,0,3,1,11,80
Diego Batista,Providence,Midfielder,1306,0,2,21,9,25,80
Cameron Cook,San Jose St.,Midfielder,1412,3,2,25,11,22,80
Daniel Samways,Cornell,Midfielder,1113,1,6,22,14,27,80
Bryce Willoughby,Denver,Forward,1137,5,3,27,15,15,80
Nathan Simeon,Vermont,Defender,1084,0,3,3,1,12,80
Colin Griffith,Maryland,Forward,1365,6,0,44,14,31,80
Luis Felipe Santos,Mercyhurst,Forward,1334,3,3,30,16,22,80
Rai Pinto,Marshall,Defender,1092,4,1,16,8,11,80
Max Gummesson,UConn,Defender,1085,0,3,5,1,10,80
Bjarne Thiesen,Maryland,Defender,1206,1,0,10,5,13,80
Misei Yoshizawa,Clemson,Midfielder,1063,4,3,31,13,24,80
Sean Sent,Washington,Midfielder,1337,0,0,10,3,4,80
Garcia Gallego,Sacred Heart,Midfielder,1251,5,0,49,23,1,79
Ellis Jones,Wisconsin,Defender,1133,1,0,14,4,12,79
Pablo Greenlee,UCLA,Defender,1092,0,3,4,2,18,79
Oscar Perez,UMass Lowell,Defender,1144,1,1,9,3,10,79
Collin Mccamy,Northwestern,Midfielder,1311,1,2,27,7,0,79
Ethan Kang,Northeastern,Midfielder,1225,0,4,7,1,15,79
Nathan Demian,Ohio St.,Defender,1092,0,1,3,2,5,79
Joschi Schelb,Saint Francis,Midfielder,1229,9,8,39,18,10,79
Jordy Luchies,Loyola Maryland,Defender,1235,1,2,11,2,9,79
Stephan Moreira,SIUE,Midfielder,1225,1,5,23,12,13,79
Elton Chifamba,Syracuse,Midfielder,1196,0,3,11,1,25,79
Jalen Grant,Navy,Defender,1205,2,2,10,3,8,79
Jamie Roman,Iona,Midfielder,1221,0,0,2,0,10,79
Aidan Borra,Sacred Heart,Midfielder,1261,2,3,15,5,12,79
Rui Reis,UIC,Midfielder,1256,4,4,35,19,37,79
Jose Escobar,FGCU,Defender,1254,0,1,9,1,9,79
Lorenzo Selini,Stony Brook,Midfielder,1337,0,4,6,5,23,79
Diego Zaffanella,Yale,Midfielder,1392,0,2,12,3,21,79
Yoshiya Okawa,UNC Greensboro,Midfielder,1067,8,4,26,14,23,79
Carson Ballagh,Oakland,Midfielder,1278,1,5,13,5,15,79
Joseph Daher,Marist,Defender,1385,0,0,9,6,18,79
Jorge Garcia,Villanova,Midfielder,1369,5,2,22,7,25,79
Jorge Solorzano,CSUN,Midfielder,1311,3,1,35,9,16,79
Stas Korzeniowski,Penn,Forward,1310,12,2,67,36,47,79
Guille Munoz,Kansas City,Defender,1185,2,1,8,4,5,79
Pablo Alcoba,Sacred Heart,Midfielder,1262,2,0,14,7,11,79
Kyle Stenzel,Massachusetts,Midfielder,1107,1,1,6,4,21,79
Jayden Pinheiro,Oakland,Defender,1182,2,0,9,2,9,79
Brandon Marshall,Providence,Defender,1109,0,1,4,2,7,79
Luke Haggerty,Villanova,Defender,1379,0,2,11,6,12,79
Luca Baltzer,Pacific,Midfielder,1346,1,2,4,2,20,79
Lucas Barsoee,Robert Morris,Midfielder,1168,2,2,14,8,14,79
Jett Aktan,Old Dominion,Midfielder,1250,0,0,7,2,15,79
Luke Hille,North Carolina,Forward,1045,8,1,38,18,26,79
Ethan Blake,Lindenwood,Forward,1282,8,9,44,20,20,79
Rodrigo Vaza,Providence,Midfielder,1249,1,2,11,5,18,79
Colin Blandford,VMI,Defender,1207,0,1,10,3,10,79
Mats Bramer,Robert Morris,Defender,1119,0,1,7,1,23,79
Sam Pitts-Eckersall,Butler,Midfielder,1320,0,0,20,4,38,79
Felix Ezekwuka,Wright St.,Forward,1050,4,0,25,15,31,79
Ben Buckley,Mercyhurst,Defender,1088,0,0,3,1,9,79
Theo Klein,Omaha,Forward,1251,5,3,44,21,26,79
Jack Goodrich,Le Moyne,Defender,1142,5,2,20,14,22,79
Ensa Sanneh,Manhattan,Defender,1192,0,1,3,0,16,79
Alejandro Moroso-Maza,Butler,Defender,1233,0,3,2,0,37,79
Ryan Holmes,Marshall,Midfielder,1149,0,2,7,2,16,79
Gwendal Eugene Degorce,UCF,Defender,1157,0,0,1,0,20,79
Kieran Bracken,California,Midfielder,1171,0,3,10,3,18,79
August Guinle,Elon,Defender,1146,1,2,5,4,19,79
James Redington,UC San Diego,Midfielder,1337,0,0,1,0,20,79
Ismailcan Usta,UMBC,Midfielder,1202,2,3,35,11,24,79
Jonah Craig,UNLV,Midfielder,1344,0,2,2,2,15,79
Erickson Sakalosky,Penn,Forward,1386,0,1,22,4,13,79
Marko Rimac,Cleveland St.,Forward,1193,5,3,45,23,30,79
Joe Mcdaid,Columbia,Defender,1260,0,0,4,1,20,79
Alex Henderson,California Baptist,Defender,1206,0,1,5,1,10,79
Ethan Cook,UAlbany,Defender,1395,0,2,4,1,6,79
Sebastian Manon,Dartmouth,Defender,1344,0,0,1,1,13,79
Charlie Kitch,Elon,Midfielder,1144,2,1,5,2,15,79
Donavan Phillip,NC State,Forward,1179,6,3,45,19,18,79
Bart Muns,UIC,Forward,1350,7,1,47,17,17,79
Marco Dos Santos,Boston College,Midfielder,1144,4,4,25,11,39,79
Brandon Clagette,Northwestern,Defender,1035,2,1,24,8,11,79
Juan Romero,Purdue Fort Wayne,Midfielder,1243,1,2,13,5,21,79
Kristian Feed,Dartmouth,Midfielder,1334,1,2,13,5,20,79
Matt Lenert,Col. of Charleston,Forward,1048,8,2,28,12,10,79
Joao Paulo Ramos,Michigan,Midfielder,1241,0,3,19,10,33,79
Matt Giraldo,FDU,Forward,1353,4,2,31,16,19,79
Giancarlo Vaccaro,Drexel,Forward,1118,2,5,24,10,16,79
Samy Kanaan,San Diego,Forward,1329,9,2,48,16,25,79
Nico Quanbeck,Davidson,Midfielder,1326,4,2,18,5,12,79
Manu Duah,UC Santa Barbara,Midfielder,1152,0,1,11,1,28,79
Alex Krakowiak,Liberty,Midfielder,1199,0,1,2,0,14,79
Sean Mcevoy,Loyola Maryland,Midfielder,1394,2,3,20,9,36,79
Ole Jessen,UAB,Defender,1184,1,2,13,3,28,79
Edgar Aguilar,FIU,Defender,1227,0,0,5,1,3,79
Matthias Dick,Sacred Heart,Defender,1208,3,0,9,6,11,79
Beau Morrison,California,Defender,1180,1,0,4,2,6,79
Bilal Mihoubi,CSU Bakersfield,Forward,1369,1,3,22,7,23,79
Kemali Green,Temple,Midfielder,1423,0,0,2,1,10,79
Liam Zimmerman,IU Indy,Defender,1180,0,1,7,1,19,79
Gabe Norris,Robert Morris,Midfielder,1198,1,0,5,2,14,79
Connor Mautino,CSU Bakersfield,Forward,1310,11,1,40,26,43,79
Callum Shillington,St. Bonaventure,Defender,1327,0,3,10,3,5,79
Gabriel Betancourt,ETSU,Midfielder,1341,0,0,8,5,12,79
Matteo Brossel,New Hampshire,Midfielder,1196,0,2,5,1,22,79
Ethan Boyle,American,Midfielder,1312,2,0,24,11,8,78
Palmer Ault,Butler,Forward,1279,5,6,34,18,36,78
Brendan Herb,UNC Asheville,Midfielder,1090,6,2,31,10,18,78
Bruno Rosa,Providence,Forward,1525,5,6,44,18,25,78
Zack Harris,CSUN,Midfielder,1157,0,4,30,4,56,78
Aidan Fong,Green Bay,Defender,1160,1,1,6,2,8,78
Jack Brown,Davidson,Midfielder,1311,0,0,3,1,8,78
Louie Salkeld,ETSU,Midfielder,1246,1,4,12,1,27,78
Evans Dapaah,Campbell,Midfielder,1196,0,1,10,2,13,78
Gustavo Barbosa,UAB,Defender,1223,0,4,2,1,5,78
Damorney Hutchinson,Presbyterian,Forward,1083,12,3,61,33,15,78
Gael Quintero,LMU (CA),Midfielder,1349,1,0,11,5,21,78
Mathys Lefebvre,FIU,Midfielder,1236,2,0,9,5,22,78
Carter Houlihan,Lafayette,Midfielder,1222,1,2,10,6,19,78
Sean Thompson,UMBC,Defender,1106,0,0,0,0,6,78
Kai Knuchel,Drake,Midfielder,1108,2,0,8,6,10,78
Alex Smith,UCF,Defender,1082,1,1,9,3,23,78
Martin Rivera,UNCW,Midfielder,1261,0,0,2,1,16,78
Leo Palomo,American,Midfielder,1266,0,4,6,2,21,78
Adam Hillis,UC San Diego,Midfielder,1266,1,3,4,1,19,78
Oluwatobi Osoba,La Salle,Defender,1099,0,0,9,3,19,78
Adrian Renteria,Purdue Fort Wayne,Defender,1093,0,0,7,5,19,78
Harri Sprofera,Brown,Defender,1159,3,0,6,6,5,78
D'Alessandro Herrera,Houston Christian,Midfielder,1184,3,3,28,9,18,78
Lou-Kent Bosc,Butler,Defender,1151,0,1,5,2,51,78
Dominic De Almeida,California Baptist,Defender,990,0,1,2,0,62,78
John Gates,Lindenwood,Forward,1262,4,7,33,19,21,78
Andrew Armstrong,Dayton,Forward,949,8,3,36,17,19,78
Jaehyuk Moon,New Hampshire,Defender,1046,0,1,0,0,9,78
Luka Ivancic,Loyola Chicago,Midfielder,1226,3,1,29,8,20,78
Allan Legaspi,UCLA,Defender,1122,0,1,0,0,2,78
Ryan Holmes,Ga. Southern,Forward,1161,10,2,45,23,16,78
Filip Arras,CSU Bakersfield,Defender,1012,0,6,6,1,15,78
Torren Aikens,Saint Francis,Defender,1350,0,1,6,4,11,78
Nate Lagoa,Stonehill,Midfielder,1324,2,1,17,4,23,78
Pedro Faife,South Fla.,Midfielder,1216,2,0,22,6,29,78
Luka Kozomara,California Baptist,Defender,1123,0,1,12,3,10,78
Justin Aguirre-Rosas,NJIT,Midfielder,1259,0,2,4,2,17,78
Chris Mckenna,UAB,Defender,1263,0,0,5,1,2,78
Ryan Okerayi,Houston Christian,Forward,1448,5,6,41,15,28,78
Charles Brunet,Central Ark.,Midfielder,1144,2,2,33,9,19,78
Thor Sigurjonsson,William & Mary,Midfielder,1193,2,2,10,5,17,78
Stephen Perno,Fairfield,Defender,1272,1,3,7,2,20,78
Parker O'Ferral,North Carolina,Defender,1055,1,0,7,3,2,78
Oliver Pratt,Penn,Defender,1055,1,1,6,2,12,78
Curt Calov,Rutgers,Midfielder,1227,5,2,50,24,27,78
Elias Khodri,Gardner-Webb,Forward,1156,9,1,51,27,13,78
Jack Cloherty,Brown,Midfielder,1166,2,1,7,3,22,78
Tai-Reece Chisholm,Campbell,Midfielder,1189,3,3,14,5,6,78
Nathan Scott,Syracuse,Midfielder,1127,2,0,17,6,17,78
Nick Fernandes,Portland,Midfielder,1148,4,4,30,14,31,78
Nick Collins,Rutgers,Defender,1167,1,0,17,5,9,78
Leontios Zacharia,Queens (NC),Midfielder,1397,0,3,8,2,23,78
Aj Zarcone,Canisius,Midfielder,1393,1,0,5,2,16,78
Jose Contell,UCLA,Forward,1163,6,1,32,15,12,78
Quinn Mahoney,Cal Poly,Midfielder,1125,4,6,43,18,29,78
George Waites,Xavier,Midfielder,1345,0,3,10,4,8,78
Bubu Medina,Lipscomb,Midfielder,1325,2,0,19,7,30,78
Roberto Alvarez,Queens (NC),Midfielder,1460,0,0,8,2,16,78
Luis Lara,Saint Louis,Forward,1403,8,1,49,20,25,78
Tomas Bedouret,Oregon St.,Midfielder,1118,2,2,16,7,17,78
Matthew Zachemski,Wisconsin,Midfielder,1152,3,3,6,4,15,78
Martim Sereno,George Mason,Forward,1166,2,6,42,10,15,78
Nassim Akki,Manhattan,Defender,1114,0,2,4,2,21,78
Jonah Kawamura,UC San Diego,Midfielder,1294,1,0,9,3,18,78
Quinten Blair,Loyola Chicago,Midfielder,1268,0,1,7,2,18,78
Birgir Baldvinsson,Wisconsin,Defender,1058,0,1,9,5,18,78
Kamau Brame,Michigan,Midfielder,1238,0,0,6,3,14,78
Rentaro Miyakawa,North Florida,Midfielder,1303,1,9,13,3,12,78
Daniel Stampatori,Lipscomb,Midfielder,1345,1,1,13,6,22,78
Ryan Cote,Yale,Midfielder,1347,1,0,6,3,11,78
Christian Baumgartner,DePaul,Defender,1317,2,1,5,3,11,78
Cesar Baltazar,UTRGV,Midfielder,1290,1,3,4,1,9,78
Tweneboa Kodua,Oral Roberts,Midfielder,1091,0,1,9,3,21,78
Jackson Lewis,Howard,Forward,1386,1,2,15,8,5,78
Casey Mccarthy,Detroit Mercy,Defender,1300,2,4,13,6,24,78
Jason Bouregy,Villanova,Midfielder,1323,4,8,50,22,18,78
Andre Puente,San Diego St.,Defender,1115,4,0,9,8,6,78
Caio Hughes,Gardner-Webb,Midfielder,1152,3,4,30,11,14,78
Camden Kowalski,South Carolina,Midfielder,1101,2,1,4,2,16,78
Martin Soereide,Kentucky,Midfielder,1119,2,2,12,5,16,78
Alex Cunningham,Tulsa,Defender,1319,1,0,12,3,11,78
David Cordes,California Baptist,Defender,1149,2,0,9,3,15,78
Jordan Blunschi,Fairfield,Defender,1366,2,0,4,2,5,78
Micaah Garnette,Portland,Forward,1342,0,1,7,1,26,78
Logan Dorsey,Kentucky,Forward,1132,11,2,46,25,24,78
Jackson Miller,Cal Poly,Midfielder,1180,1,0,10,6,23,78
Mcloughlin,Robert Morris,Midfielder,1158,2,1,32,10,6,78
Kai Phillip,Evansville,Forward,1139,4,3,25,10,17,78
Sergi Solans,Oregon St.,Forward,1191,14,3,41,25,20,78
Filip Basili,UC Santa Barbara,Midfielder,1117,1,6,23,4,21,78
Bryce Burdette,Presbyterian,Defender,1407,0,1,4,2,13,78
Justin Pham,Le Moyne,Midfielder,1189,2,4,14,9,24,78
Tibo Jacobs,Bryant,Defender,1008,1,0,8,4,6,78
Yanis Belatrache,UCF,Midfielder,1144,1,1,12,5,31,78
Jeloni Murray-Powell,Green Bay,Midfielder,1171,1,2,7,2,26,78
Victor Boje Henriksen,Le Moyne,Defender,1215,1,0,7,3,8,78
Chris Ogor,Loyola Maryland,Defender,1170,0,3,4,1,27,78
William Ansah,UIW,Defender,1108,0,0,3,2,16,78
Marcus Williams,Holy Cross,Midfielder,1342,3,1,15,8,16,78
Luke Adams,Tulsa,Defender,1350,0,0,6,3,11,78
Yeider Zuluaga,Seattle U,Midfielder,1113,1,5,37,16,13,78
Lucas Kelly,Liberty,Defender,1128,0,0,5,2,8,78
Luke Thomas,Duke,Midfielder,951,3,3,20,11,14,77
Isaac Powell,UC Irvine,Midfielder,1122,2,3,12,5,31,77
Arnar Adalsteinsson,Rutgers,Defender,1145,0,0,8,5,4,77
Jared Rapoza,Stonehill,Forward,1182,5,0,28,15,24,77
Mark Cajamarca,Siena,Midfielder,1179,0,0,8,3,11,77
Andrew Hilton Ii,Columbia,Defender,1154,0,1,3,2,20,77
Marcus Nahim,Binghamton,Midfielder,1199,0,5,15,9,8,77
Konstantin Donalies,Seton Hall,Defender,1036,0,1,7,1,5,77
Oscar Olingdahl,Western Ill.,Midfielder,1273,0,1,9,3,15,77
Mesfin Roda,Milwaukee,Forward,1179,5,7,22,12,37,77
Ayoub Boumelala,Manhattan,Midfielder,1209,0,1,5,2,14,77
Cameron Caldwell,Lindenwood,Defender,1044,0,2,4,1,22,77
Juan Gutierrez,UIC,Defender,1217,1,2,6,3,11,77
Joao Pinto,Quinnipiac,Defender,1084,1,2,10,4,22,77
Nolan Spicer,Notre Dame,Midfielder,1013,3,2,17,10,23,77
Harry Jolley,Missouri St.,Defender,991,2,0,4,2,18,77
Ethan Stevenson,Longwood,Forward,1188,13,3,33,20,20,77
Alexandros Katsari-Hoefer,William & Mary,Midfielder,1183,0,1,6,0,24,77
Alan Alonso,UIC,Midfielder,1249,0,0,6,2,10,77
Edvin Grolimund,UNC Asheville,Midfielder,1102,1,4,25,10,10,77
Diogo Branco,William & Mary,Midfielder,1108,2,1,19,5,35,77
Daniel Larsson,Saint Peter's,Defender,1396,0,0,5,3,9,77
Mattia Ferretti,St. Bonaventure,Defender,1255,2,2,9,5,6,77
Hakim Karamoko,NC State,Forward,1077,7,2,45,16,36,77
Caleb Trowbridge,Cleveland St.,Midfielder,1170,3,0,21,8,11,77
Jose Maria Barrera,Pacific,Midfielder,1204,2,3,23,14,36,77
Joe Core,San Francisco,Defender,1017,3,0,7,4,13,77
Luis Flores,Oral Roberts,Forward,1090,7,4,48,18,30,77
Nick Mchenry,Ohio St.,Defender,1056,0,0,7,2,1,77
Cianole Nguepissi,San Diego St.,Defender,1100,0,2,0,0,11,77
Sean Towey,Stony Brook,Forward,1262,2,0,6,3,20,77
Ricky Louis,Ga. Southern,Forward,1135,4,4,30,10,31,77
Thaddeus Dennis,Wofford,Midfielder,1166,2,3,28,10,19,77
Oscar Hough,Belmont,Midfielder,1221,0,0,5,2,21,77
Scott Godden,Rutgers,Defender,1134,0,1,6,0,10,77
Taku Takahashi,American,Defender,1051,1,1,16,9,16,77
Gudjon Stefansson,Coastal Carolina,Defender,1184,0,1,10,1,7,77
Simao Coelho,Longwood,Forward,1211,5,3,37,16,20,77
Eloge Iradukunda,Drake,Forward,1156,2,1,20,6,14,77
Layton Purchase,Massachusetts,Midfielder,1055,2,2,27,12,11,77
Florian Deletioglu,Santa Clara,Midfielder,1179,3,0,31,11,47,77
Mikey Chiha,La Salle,Midfielder,1219,0,3,15,4,9,77
Lucas Lykkegaard,Rhode Island,Defender,1121,1,0,6,2,2,77
Westin Carnevale,Cornell,Midfielder,1057,0,1,15,4,12,77
Ollie Bate,Missouri St.,Forward,1081,1,2,13,6,1,77
Kodie Sarkodie,Canisius,Midfielder,1365,0,1,6,3,4,77
Bernardo Dos Santos Monteiro,FIU,Forward,1357,3,1,45,16,24,77
Branden Johns,Villanova,Midfielder,1327,0,3,6,2,9,77
Christian Ceja,UC Riverside,Midfielder,1226,0,3,17,5,26,77
Alexei Royar,VMI,Defender,1179,0,0,2,2,5,77
Kevin Leonhard,FDU,Forward,1212,10,3,40,22,19,77
Otto Gustafsson,California Baptist,Defender,1128,0,0,4,2,5,77
Christian Leon,Purdue Fort Wayne,Midfielder,1134,0,2,6,1,28,77
Parker Grinstead,Ohio St.,Midfielder,917,6,2,24,16,12,77
Connor Lofy,Washington,Midfielder,1163,0,0,7,4,7,77
Gabriel Le Guen,FDU,Defender,1166,1,0,4,2,11,77
Drew Pierson,Detroit Mercy,Defender,1272,3,5,14,5,10,77
Andrew Rosenbaum,La Salle,Midfielder,1159,2,0,9,6,22,77
Paolo Kampula,Temple,Defender,1024,0,0,10,6,8,77
Preston Kipnusu,Drake,Forward,1130,4,1,23,8,28,77
Tanner Hodgson,Western Mich.,Midfielder,1024,0,0,7,1,30,77
Emmanuel Bam,UCF,Forward,1206,4,2,22,10,22,77
Titus Washington,Seattle U,Forward,1115,8,8,34,20,15,77
Mateo Franzotti,Kentucky,Defender,1047,1,1,9,3,12,77
Ismail Nieves,LMU (CA),Defender,1057,2,1,11,7,17,77
Jack Flanagan,Notre Dame,Forward,1018,4,1,22,8,11,77
Gijs Verheul,Marist,Defender,1291,1,0,11,5,9,77
Lucas Mauro,Gardner-Webb,Forward,1120,4,6,44,17,29,77
Alonzo Clarke,Davidson,Midfielder,1231,1,0,19,5,28,77
Vito Kreuzpaintner,Le Moyne,Defender,1142,3,1,12,5,15,77
Diego Rived,Boston U.,Midfielder,1268,1,3,25,11,10,77
Panagiotis Karagiorgis,Dartmouth,Defender,1250,0,0,3,1,12,77
Colin Prendergast,George Washington,Defender,1414,1,0,10,5,10,77
Jesus Macaya,Longwood,Midfielder,1513,0,2,12,4,7,77
Kadeem Agard,Mercer,Forward,1480,4,2,27,14,16,77
Perry Blay,Liberty,Defender,1019,0,2,12,2,17,77
Ryan Hannosh,Butler,Forward,1283,6,5,40,21,26,77
Rocco Delgiudice,Merrimack,Defender,1263,1,0,5,2,17,76
Marcelo Randolf,Old Dominion,Defender,992,1,2,16,5,9,76
Andrew Millar,Vermont,Midfielder,981,2,1,14,5,16,76
Enzo Dovlo,UNC Greensboro,Forward,1203,5,4,21,11,13,76
Lasse Dahl,Pittsburgh,Forward,993,2,6,20,5,3,76
Jarette Barajas,San Jose St.,Defender,1026,0,1,7,3,11,76
Ryusei Shimonishi,Creighton,Defender,1047,1,2,10,4,8,76
Cason Stafford,Colgate,Midfielder,1169,2,3,18,9,24,76
Oscar Halls,Loyola Maryland,Defender,1148,1,1,3,2,5,76
Quinn Garrett,Santa Clara,Defender,1068,0,0,2,2,3,76
Alek Wroblewski,UMBC,Forward,1210,2,4,43,19,43,76
Curtis Deleon,Campbell,Midfielder,1059,3,1,26,12,17,76
Giacomo Zizza,Lehigh,Midfielder,1233,1,1,30,10,16,76
Yuki Nakamura,Georgia St.,Midfielder,1255,0,1,4,1,6,76
Kevin Estrada,CSU Bakersfield,Forward,1245,0,2,13,3,26,76
Christos Efstathiou,UAlbany,Defender,1274,0,2,2,0,5,76
Jackson Ten Oever,Columbia,Defender,1139,2,0,2,2,20,76
Ivan Breki Sigurdsson,Sacred Heart,Defender,1095,1,0,7,1,2,76
Issah Haruna,UNC Greensboro,Midfielder,1004,3,3,18,10,17,76
Sello Diphoko,UIW,Defender,932,4,1,30,17,13,76
Sebastian Green,Notre Dame,Midfielder,992,2,3,13,3,9,76
Max Kwitchoff,UAlbany,Midfielder,1319,0,0,4,0,17,76
Colin Thomas,Wake Forest,Midfielder,1068,1,1,18,11,11,76
Milton Lopez,SMU,Forward,923,6,0,21,13,26,76
Brad Dildy,Belmont,Midfielder,1172,0,3,7,0,19,76
Liam Ziegler,Merrimack,Midfielder,1357,3,0,19,8,19,76
Diego Rosas,Portland,Forward,1276,1,8,15,4,11,76
Brennan Mallett,Santa Clara,Midfielder,1267,0,0,3,0,15,76
Trip Fleming,Wisconsin,Midfielder,1082,5,3,20,9,12,76
Giuseppe Indelicato,UMBC,Defender,958,2,0,15,7,20,76
Jason Pereira,Providence,Defender,1008,0,0,3,1,9,76
Kameron Gorst,Wofford,Midfielder,1170,1,1,11,4,13,76
Jose Alves Faria,Bryant,Midfielder,1048,2,1,18,5,19,76
Issah Hamidu,South Fla.,Defender,1051,1,2,8,2,8,76
Austin Brummett,San Diego St.,Forward,1444,5,5,36,19,36,76
Bo Drath,St. Bonaventure,Defender,1178,0,1,6,3,10,76
Alex Fleury,Stony Brook,Midfielder,1198,0,4,28,6,12,76
Arturo Reveles,CSUN,Forward,1385,2,2,22,7,24,76
Elliot Chaffey,VMI,Defender,1011,0,3,18,7,13,76
Gianluca Del Priore,Niagara,Midfielder,1380,0,4,29,16,50,76
Bakuena Ramakatsa,Cal Poly,Midfielder,1115,0,2,24,9,10,76
Ben Suddeth,NIU,Defender,1440,0,1,3,0,17,76
Jamie Kabussu,Duke,Midfielder,970,0,0,2,1,16,76
Max Voigt,New Hampshire,Defender,954,0,1,11,3,6,76
Mitar Mitrovic,Marquette,Midfielder,1102,5,1,13,8,25,76
Tristan Pusztahegyi,West Virginia,Defender,1042,0,0,3,1,4,76
Diego Castillo,FIU,Midfielder,1137,2,3,19,10,19,76
Jimmy Pombor,Bucknell,Midfielder,1241,1,1,5,2,8,76
Ethan Sassine,Dayton,Forward,922,8,0,47,16,13,76
Ty Mikula,Saint Francis,Defender,1279,0,0,1,1,6,76
Michael Switala,Canisius,Midfielder,1282,4,2,28,12,12,76
Noe Bijou,Lindenwood,Defender,1005,3,1,10,7,10,76
Jacob Bartlett,Notre Dame,Midfielder,1005,1,0,9,2,14,76
Cooper Lijewski,Dayton,Forward,916,3,6,31,16,7,76
Richie Nichols,Loyola Maryland,Midfielder,1230,2,1,21,8,28,76
Richard Morel,Marist,Forward,1266,8,3,34,19,19,76
William Pierce,Fairfield,Midfielder,1249,5,3,33,16,25,76
Pharis Petrica,Central Ark.,Midfielder,1105,0,2,20,6,12,76
Reudd Manin,Presbyterian,Defender,1316,1,0,7,2,10,76
Dominik Topolsky,Mount St. Mary's,Midfielder,1286,3,4,25,11,38,76
Ludovico Rollo,Harvard,Defender,1047,0,0,2,0,11,76
David Boccuzzo,FIU,Midfielder,1188,0,1,3,0,15,76
Yoni Aidlberg,Santa Clara,Defender,986,0,1,9,4,24,76
Sam Donnellan,Delaware,Forward,1011,9,4,24,9,13,76
Michael Rogalski,Xavier,Defender,968,1,3,13,7,3,76
Rikard Cederberg,Seton Hall,Defender,1006,2,1,5,5,2,76
Andres Javitt,St. Bonaventure,Forward,1261,4,5,21,11,26,76
Jesus Galvan-Garcia,Green Bay,Defender,1099,1,1,4,1,10,76
Sumner Nenninger,Elon,Midfielder,1048,1,0,4,2,14,76
Ryan Amond,Marquette,Forward,1426,1,2,15,3,25,76
Gaku Nishimura,California,Midfielder,1076,2,2,11,4,5,76
Joaquin Suarez,UTRGV,Defender,1047,0,0,7,4,13,76
Pablo Simon,Marshall,Midfielder,965,4,1,22,12,22,76
Tj Kahoalii,Louisville,Midfielder,937,2,3,13,4,50,76
Alon Drey,FGCU,Midfielder,1300,2,1,22,8,20,76
Harry Davison,Saint Peter's,Defender,1285,0,0,9,5,19,76
Damian Mcgregor-Wickham,Presbyterian,Defender,1290,1,3,7,2,11,76
Cole Pumpian,Queens (NC),Midfielder,1274,1,2,10,6,31,76
Beltran Alvarez,FGCU,Midfielder,1335,0,4,23,9,16,76
Bryson Baker,Howard,Forward,1279,2,7,43,19,6,76
Wesley Siegel,Furman,Midfielder,1099,1,1,23,6,12,76
Bryan Akongo,Rider,Forward,1264,6,5,34,15,27,76
Sean Boyle,Saint Joseph's,Defender,1316,0,0,11,3,4,76
Noah Gold,Col. of Charleston,Unknown,1342,5,1,11,8,19,75
Jaxon Ervin,Duquesne,Midfielder,1047,3,4,23,12,20,75
Diogo Baptista,San Jose St.,Forward,1596,3,1,22,8,44,75
Conner Reid,VMI,Defender,1081,1,0,6,5,4,75
Ahiro Nakamae,Southern Ind.,Midfielder,1498,3,2,20,9,20,75
Lee Mara,Siena,Midfielder,1042,3,0,19,11,11,75
Nestor Cabrera,Rutgers,Midfielder,1073,2,1,10,2,38,75
Samuel Biven,Merrimack,Defender,1159,3,2,17,9,16,75
Cole Mooney,VMI,Midfielder,1173,1,5,41,11,17,75
Kevin Pierre,Ga. Southern,Midfielder,1071,1,2,6,1,17,75
Aiden Gonzalez,Lehigh,Midfielder,1210,3,1,22,8,4,75
Gabriel Addo,St. Bonaventure,Midfielder,1183,0,2,12,4,21,75
Joshua Yoder,Longwood,Midfielder,1350,0,1,4,1,15,75
Jimmy Baars,Western Ill.,Midfielder,1135,2,1,21,12,28,75
Phineas Callahan,Dartmouth,Midfielder,1162,3,4,27,11,13,75
Justin Ruth,Delaware,Forward,965,3,5,28,10,19,75
Matty Helfrich,Georgetown,Midfielder,1085,0,0,8,3,12,75
Drew Menges,VMI,Defender,1078,0,0,2,0,12,75
Jose Gomez,NIU,Midfielder,1250,3,5,14,7,39,75
Eddie Villeda,UC Santa Barbara,Midfielder,1043,2,1,16,4,6,75
Diego Rodriguez,Southern Ind.,Defender,1287,0,0,2,1,7,75
Nassim Nouajaa,UAlbany,Defender,1160,0,0,7,2,18,75
Josh Copeland,Detroit Mercy,Midfielder,1156,3,4,23,8,14,75
Gabe Sanchez,UNLV,Midfielder,1162,3,1,9,5,8,75
Drew Pedersen,Gonzaga,Forward,1302,4,3,23,12,15,75
Mitchell Baker,Georgetown,Forward,1300,4,4,47,21,12,75
Tiago Lima-Bittencourt,Stonehill,Forward,1090,3,5,22,6,16,75
Duarte Chapelas,Western Mich.,Defender,934,1,1,10,6,12,75
Nikolai Zapolskikh,Temple,Defender,962,1,0,5,3,17,75
Caden Grabfelder,Penn St.,Midfielder,1140,4,1,29,13,37,75
Nacho Abeal,SIUE,Forward,1294,5,1,37,16,27,75
Graham Dougald,Mount St. Mary's,Midfielder,1288,3,1,33,8,7,75
Bryan Miralrio,UNCW,Forward,1296,2,2,26,10,17,75
Billy Clark,Binghamton,Midfielder,1125,1,3,15,6,8,75
Nolan Mcguire,DePaul,Defender,1187,1,2,3,1,3,75
