Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Abdel Talabi,Bryant,Defender,0,1,12,2,15,1649,88.0,False
Vasco Teixeira,Providence,Defender,0,3,12,1,12,1867,88.0,False
Jack Sandmeyer,San Diego,Defender,2,2,16,6,33,1603,88.0,False
Max Schrader,Rider,Defender,0,1,4,0,15,1689,88.0,False
Jonas Buechte,Akron,Defender,1,2,5,1,13,1800,88.0,False
Jason Belloli,Denver,Defender,1,1,6,2,9,1717,88.0,False
Owen Walz,San Diego,Defender,0,5,15,4,17,1586,88.0,False
Andrew Armstrong,Dayton,Forward,8,3,36,17,19,949,87.0,False
Woodi Pondeca,Mercer,Defender,0,2,3,1,6,1597,87.0,False
Owen Zarnick,SMU,Defender,4,0,14,7,6,1874,87.0,False
Jakob Andersson,Wofford,Defender,0,5,7,3,22,1550,87.0,False
Caden Vom Steeg,UC Santa Barbara,Defender,0,2,13,3,13,1735,87.0,False
Joaquin Acuna,North Florida,Forward,10,1,46,18,10,975,87.0,False
Marius Stenner,Delaware,Forward,9,5,43,21,20,1135,87.0,False
Casper Svendby,Pittsburgh,Defender,3,4,15,7,13,1517,87.0,False
Aidan Martin,Cornell,Defender,2,2,12,3,10,1678,87.0,False
Ander Castillo,UAlbany,Forward,8,3,60,27,30,1034,87.0,False
Mateo Maillefaud,Pittsburgh,Defender,0,1,11,2,25,1596,87.0,False
Logan Dorsey,Kentucky,Forward,11,2,46,25,24,1132,87.0,True
Luca Costabile,Maryland,Defender,2,4,19,6,34,1750,87.0,False
Hans Nesheim,UMBC,Defender,1,9,14,6,12,1554,87.0,False
Mikey Johnson,Delaware,Forward,5,4,25,13,14,634,87.0,False
River Stewart,Seattle U,Forward,3,1,14,5,5,306,87.0,False
Daniel D'Ippolito,Fordham,Midfielder,14,7,73,36,2,1536,87.0,False
Gavrilo Civric,Creighton,Forward,3,5,15,9,7,483,87.0,False
Gabriel Pacheco,Hofstra,Defender,1,1,11,6,13,1700,87.0,False
Wes Gibson,SIUE,Defender,2,0,5,2,9,1760,87.0,False
Josh Maher,Indiana,Defender,0,3,1,0,9,1737,87.0,False
Yaniv Bazini,Vermont,Forward,14,2,72,34,33,1783,87.0,False
Alexis Ledoux,UC Santa Barbara,Forward,14,5,56,26,30,1647,87.0,False
Adam Luckhurst,Duke,Forward,11,2,41,23,11,1163,87.0,False
Travis Smith Jr.,Wake Forest,Defender,1,1,12,6,12,1719,87.0,True
Connor Dawson,Penn,Defender,2,0,7,5,9,1704,87.0,False
Hans Leza,Houston Christian,Defender,0,2,5,2,9,1716,87.0,False
Jack Loura,UConn,Defender,1,1,7,2,23,1595,87.0,False
Isaac Heffess,NC State,Defender,1,0,5,2,16,1751,87.0,False
Charlie Harper,North Carolina,Defender,1,0,11,7,18,1636,87.0,True
Enrique Garcia Barelles,James Madison,Defender,0,1,5,1,7,1596,87.0,False
Ryan Wagner,Furman,Defender,0,3,13,6,14,1669,87.0,False
Niklas Sorensen,Pittsburgh,Defender,0,1,2,1,6,1633,87.0,False
Ethan Blake,Lindenwood,Forward,8,9,44,20,20,1282,87.0,False
Titus Washington,Seattle U,Forward,8,8,34,20,15,1115,87.0,False
Dean Boltz,Wisconsin,Forward,10,4,46,24,20,1115,87.0,True
Jaxon Reinhardt,North Florida,Forward,5,0,13,9,9,403,87.0,False
Joseph Melto Quiah,Dayton,Midfielder,8,6,87,28,15,1626,87.0,True
James Kelly,Clemson,Forward,4,1,16,10,5,402,87.0,False
Bennett Painter,Bowling Green,Forward,13,4,52,25,26,1538,87.0,False
Colin Beasley,La Salle,Forward,8,1,34,14,14,810,86.0,False
Niklas Dossmann,San Jose St.,Defender,0,0,2,1,10,1875,86.0,False
Andrew Kamienski,UC Santa Barbara,Defender,1,1,11,4,13,1646,86.0,False
Nicholas Cavallo,UCLA,Defender,1,2,9,4,13,1639,86.0,False
Ryan Dunn,Charlotte,Defender,2,2,10,5,13,1455,86.0,False
Lineker Rodrigues Dos Santos,Marshall,Forward,15,5,55,28,28,1938,86.0,True
Scott Vatne,Elon,Midfielder,10,7,45,21,16,1294,86.0,False
Jeremy Francou,Kansas City,Forward,4,2,19,12,9,489,86.0,False
Villads Landsperg,Wofford,Defender,1,2,10,3,13,1563,86.0,False
Ruben Flores-Thomas,San Jose St.,Defender,0,2,5,3,27,1729,86.0,False
Ethan Sassine,Dayton,Forward,8,0,47,16,13,922,86.0,False
Sam Donnellan,Delaware,Forward,9,4,24,9,13,1011,86.0,False
Julien Le Bourdoulous,Kansas City,Midfielder,1,11,40,10,44,1607,86.0,False
Justin Melly,Cornell,Defender,0,0,1,1,12,1679,86.0,False
