Name,Team,Position,Goals,Assists,Shots,Shots On Target,Fouls Won,Minutes Played,MAX,MLS_Drafted
Sam Delgado,William & Mary,Forward,5,2,31,11,10,1073,78.0,False
Uros Jevtic,Cleveland St.,Defender,0,0,4,1,16,1408,78.0,False
Cj Williams,Boston College,Defender,0,0,2,0,12,1202,78.0,False
Theo Minard,UNLV,Defender,0,0,1,1,9,1294,78.0,False
Keith Willey,Utah Valley,Defender,2,1,7,4,7,1218,78.0,False
Colin Milliken,Stonehill,Midfielder,6,3,35,18,22,1379,78.0,False
Joseph Farouz,Yale,Forward,6,2,15,8,19,1016,78.0,False
Hubert Deragon,ETSU,Defender,1,1,4,3,21,1176,78.0,False
Dante Huckaby,West Virginia,Defender,0,2,8,1,9,1140,78.0,False
Noe Uwimana,Virginia Tech,Defender,1,1,10,6,28,1081,78.0,False
Hideto Gondo,Georgia St.,Defender,1,1,12,4,14,1343,78.0,False
Jacob Heisner,Pacific,Defender,0,1,12,4,18,1198,78.0,False
Mitchell Baker,Georgetown,Forward,4,4,47,21,12,1300,78.0,False
Lamar Bynum,SMU,Defender,0,2,9,2,15,1220,78.0,False
Gavin Carmichael,Drexel,Defender,2,0,5,4,12,1251,78.0,False
Bastian Toelhoej,Saint Mary's (CA),Defender,3,1,12,6,10,1325,78.0,False
Taylor Dyson,Bowling Green,Forward,0,4,11,4,9,377,78.0,False
Max Gummesson,UConn,Defender,0,3,5,1,10,1085,78.0,False
Max Carvalho,UC San Diego,Forward,5,3,37,19,27,1327,78.0,False
Jad Benjelloun,Iona,Midfielder,2,4,17,9,40,1357,78.0,False
Bertil Hansen,North Carolina,Forward,3,2,9,4,8,584,78.0,False
Ian Ferguson,Bradley,Forward,3,2,11,4,12,608,78.0,False
Steven Cordova,Presbyterian,Midfielder,1,6,17,4,44,1409,78.0,False
Enzo Dovlo,UNC Greensboro,Forward,5,4,21,11,13,1203,78.0,False
Gage Lyons,Army West Point,Forward,6,0,36,18,9,1056,78.0,False
Brendan Herb,UNC Asheville,Midfielder,6,2,31,10,18,1090,78.0,False
Luke Eberle,Liberty,Midfielder,4,3,24,9,22,1341,78.0,False
Aby Gomez,Central Ark.,Midfielder,0,4,8,2,5,393,78.0,False
Collins Oduro,Indiana,Forward,3,5,39,11,21,1320,78.0,False
Harry Roberts,Princeton,Forward,2,3,6,5,7,489,78.0,False
Jason Robles,UTRGV,Forward,3,1,13,8,11,547,78.0,False
Gijs Hovius,Tulsa,Forward,2,1,16,6,4,441,78.0,False
Bryson Baker,Howard,Forward,2,7,43,19,6,1279,78.0,False
Ryan Manna,Elon,Midfielder,2,4,18,6,27,1415,78.0,False
Christian Acevedo,UNCW,Forward,4,0,19,11,5,617,78.0,False
Austin Brummett,San Diego St.,Forward,5,5,36,19,36,1444,78.0,False
Oscar Resano,Jacksonville,Forward,4,0,16,7,7,587,78.0,False
Joseph Picotto,UMBC,Midfielder,4,2,26,13,50,1416,78.0,False
Jackson Kiil,Stanford,Forward,4,2,25,13,35,936,78.0,False
Misael Gonzalez,UC Irvine,Forward,5,1,25,13,11,903,78.0,False
Kyle Mcgowan,Denver,Forward,2,1,8,5,9,381,78.0,False
Til Kauschke,Seton Hall,Midfielder,3,4,40,13,17,1390,78.0,False
Isaac Scheer,West Virginia,Midfielder,3,5,17,5,19,1202,78.0,False
Jack Goodrich,Le Moyne,Defender,5,2,20,14,22,1142,78.0,False
Nathan Simeon,Vermont,Defender,0,3,3,1,12,1084,78.0,False
Colin Griffith,Maryland,Forward,6,0,44,14,31,1365,78.0,False
Jozo Cancar,Fla. Atlantic,Defender,0,0,2,0,12,1209,78.0,False
Devin Zachry,Fairfield,Forward,3,5,17,8,12,878,78.0,False
Johan Feilscher,Massachusetts,Forward,2,3,35,17,15,875,78.0,False
Ian Marcano,Virginia Tech,Midfielder,2,5,25,10,9,1203,78.0,False
Jalen Grant,Navy,Defender,2,2,10,3,8,1205,78.0,False
Sandro Rabarivony,Presbyterian,Midfielder,4,3,25,7,16,806,78.0,False
Daniel Escorcia,SMU,Midfielder,2,1,18,9,46,1668,78.0,False
Tyler Caton,Missouri St.,Midfielder,0,4,6,5,44,1546,78.0,False
Filip Arras,CSU Bakersfield,Defender,0,6,6,1,15,1012,78.0,False
Jaedon Richardson,Charlotte,Forward,3,1,15,6,15,572,78.0,False
Albin Gashi,Virginia,Midfielder,2,2,22,5,55,1678,78.0,False
Mathis Pilon St-Louis,Omaha,Forward,4,0,25,15,19,712,78.0,False
Ahmad Al Qaq,North Carolina,Forward,2,2,24,10,14,649,78.0,False
Ruben Mesalles,Duke,Midfielder,1,2,16,4,16,1603,78.0,False
Martin Wurschmidt,Evansville,Defender,2,0,8,3,9,1243,78.0,False
Conner Osterholt,Wright St.,Forward,5,4,17,8,16,1259,78.0,False
Segun Afolabi,Mercer,Forward,3,4,28,13,33,963,78.0,False
Javier Montava,George Mason,Midfielder,2,4,10,3,31,1582,78.0,False
Ivan Agyaakwah,Furman,Midfielder,4,3,21,6,38,1690,78.0,False
Aidan Davock,Providence,Forward,5,2,32,14,7,1077,78.0,False
Filip Basili,UC Santa Barbara,Midfielder,1,6,23,4,21,1117,78.0,False
Yeider Zuluaga,Seattle U,Midfielder,1,5,37,16,13,1113,78.0,False
Giorgos Diakos,Cornell,Forward,2,3,12,5,5,540,78.0,False
Lucas Caldas,William & Mary,Forward,2,2,12,3,12,500,78.0,False
Chris Ogor,Loyola Maryland,Defender,0,3,4,1,27,1170,77.0,False
Jason Purks,Northern Ky.,Midfielder,3,3,20,9,25,759,77.0,False
Pavel Dashin,SIUE,Forward,4,3,26,15,20,1092,77.0,False
Ian Abbey,Rutgers,Forward,2,5,33,13,32,1069,77.0,False
Adrian Panaite,USC Upstate,Forward,5,3,23,13,5,1148,77.0,False
Sean Battistessa,Sacramento St.,Forward,5,1,20,12,14,910,77.0,False
Leon Kondic,Louisville,Midfielder,2,5,13,6,5,772,77.0,False
Julian Jakopovic,St. John's (NY),Midfielder,2,4,13,9,21,1694,77.0,False
Brayden Tester,Wright St.,Unknown,4,1,8,5,7,315,77.0,False
Pere Belmonte,Oregon St.,Midfielder,2,3,29,8,28,1503,77.0,False
Luke Hutzell,Furman,Midfielder,1,4,16,2,27,1632,77.0,False
Jesse Lee,VMI,Midfielder,4,4,21,12,8,879,77.0,False
Aj Smith,Virginia,Forward,2,1,2,2,15,354,77.0,False
Casey Mccarthy,Detroit Mercy,Defender,2,4,13,6,24,1300,77.0,False
Caio Hughes,Gardner-Webb,Midfielder,3,4,30,11,14,1152,77.0,False
Landon Fisher,Western Mich.,Midfielder,0,4,2,0,28,1713,77.0,False
Ian Smith,Denver,Forward,2,10,21,10,13,1817,77.0,True
Patrick Mcdonald,Indiana,Midfielder,2,3,5,2,20,1799,77.0,False
Leo Conneh,Liberty,Forward,2,4,25,12,8,868,77.0,False
Kai Phillip,Evansville,Forward,4,3,25,10,17,1139,77.0,False
Jack Clarkson,UNCW,Midfielder,1,6,24,8,17,1579,77.0,False
Brigham Larsen,Charlotte,Forward,4,2,19,7,15,892,77.0,False
Malick Thiaw,Virginia Tech,Forward,3,1,25,11,9,728,77.0,False
Francesco Montanile,UC Irvine,Midfielder,1,5,15,8,13,727,77.0,False
Italo Jenkins,Omaha,Forward,4,1,16,11,9,741,77.0,False
Luke Haggerty,Villanova,Defender,0,2,11,6,12,1379,77.0,False
Guille Munoz,Kansas City,Defender,2,1,8,4,5,1185,77.0,False
Xavier Gagnon,Western Ill.,Forward,5,4,32,15,21,1412,77.0,False
Roni Sylejmani,Western Mich.,Forward,4,2,23,14,21,978,77.0,False
Michael Nesci,Indiana,Forward,4,0,19,9,4,673,77.0,False
Jonas Sundli-Hardig,Presbyterian,Midfielder,0,8,9,3,11,1014,77.0,False
Pablo Torre,UTRGV,Forward,4,1,25,12,18,873,77.0,False
Jorge Lopez,Grand Canyon,Midfielder,2,5,29,5,27,1512,77.0,False
Ben Augee,Gonzaga,Midfielder,5,3,22,9,29,1356,77.0,True
Nico Lopez,UNLV,Midfielder,7,2,33,13,14,1421,77.0,False
Tiago Lima-Bittencourt,Stonehill,Forward,3,5,22,6,16,1090,77.0,False
Alejandro Moroso-Maza,Butler,Defender,0,3,2,0,37,1233,77.0,False
Brandon Clagette,Northwestern,Defender,2,1,24,8,11,1035,77.0,False
August Guinle,Elon,Defender,1,2,5,4,19,1146,77.0,False
Alex Henderson,California Baptist,Defender,0,1,5,1,10,1206,77.0,False
Ethan Cook,UAlbany,Defender,0,2,4,1,6,1395,77.0,False
Jorge Perez,St. Thomas (MN),Forward,1,2,12,7,16,398,77.0,False
Julius Suber,Duke,Midfielder,1,4,9,3,4,516,77.0,False
Andres Javitt,St. Bonaventure,Forward,4,5,21,11,26,1261,77.0,False
Henry Hutchinson,Wright St.,Midfielder,2,5,19,10,13,923,77.0,False
Sohma Ichikawa,Central Ark.,Midfielder,2,5,11,6,11,1448,77.0,False
Marco Silva,Marshall,Midfielder,5,2,18,13,3,1355,77.0,False
Richie Aman,Washington,Midfielder,2,3,33,12,29,1463,77.0,False
Tom Mertz,Cleveland St.,Midfielder,2,5,13,6,16,1406,77.0,False
Austin Rome,Virginia,Defender,0,0,1,1,11,1168,77.0,False
Mathis Richter,UAB,Defender,1,0,4,1,10,1339,77.0,False
Luke Hammond,Seattle U,Midfielder,1,5,21,11,11,1213,77.0,False
Bjarne Thiesen,Maryland,Defender,1,0,10,5,13,1206,77.0,False
Hayato Miyano,VCU,Defender,0,0,2,1,20,1159,77.0,False
Devon Stopek,Rutgers,Defender,0,0,3,1,11,1277,77.0,False
Ellis Jones,Wisconsin,Defender,1,0,14,4,12,1133,77.0,False
Pablo Greenlee,UCLA,Defender,0,3,4,2,18,1092,77.0,False
Oscar Perez,UMass Lowell,Defender,1,1,9,3,10,1144,77.0,False
Raul Medina,Milwaukee,Defender,1,7,16,7,16,857,77.0,False
Mario Navarro Perez,Siena,Forward,6,0,34,17,17,1241,77.0,False
Jordy Luchies,Loyola Maryland,Defender,1,2,11,2,9,1235,77.0,False
Jaxon Ervin,Duquesne,Midfielder,3,4,23,12,20,1047,77.0,False
Daniel Souza,Missouri St.,Midfielder,1,4,3,2,6,456,77.0,False
Cole Mooney,VMI,Midfielder,1,5,41,11,17,1173,77.0,False
William Pierce,Fairfield,Midfielder,5,3,33,16,25,1249,77.0,False
Lucas Constante,Binghamton,Forward,1,3,20,5,11,546,77.0,False
Ole Jessen,UAB,Defender,1,2,13,3,28,1184,77.0,False
Nonso Adimabua,California,Forward,4,2,24,14,20,940,77.0,False
Zack Lillington,UC Davis,Midfielder,1,4,25,5,21,1489,77.0,False
Desmond Adeyemi,Longwood,Forward,2,1,6,3,2,355,77.0,False
Matthias Dick,Sacred Heart,Defender,3,0,9,6,11,1208,77.0,False
Beau Morrison,California,Defender,1,0,4,2,6,1180,77.0,False
Callum Shillington,St. Bonaventure,Defender,0,3,10,3,5,1327,77.0,False
Gustavo Barbosa,UAB,Defender,0,4,2,1,5,1223,77.0,False
Lasse Dahl,Pittsburgh,Forward,2,6,20,5,3,993,77.0,False
Deryn Armstrong,Coastal Carolina,Forward,2,1,23,11,5,531,77.0,False
Steven Ramirez,San Diego,Forward,4,1,16,7,15,769,77.0,False
Pablo Guillen,Missouri St.,Forward,1,1,10,3,9,306,77.0,False
Matteo Samori,UMBC,Forward,2,1,11,3,6,414,77.0,False
Miles Hadley,Army West Point,Defender,1,1,6,2,7,1265,77.0,False
Pierson Davis,Coastal Carolina,Defender,0,0,0,0,9,1350,77.0,False
Sabri Hanni,UConn,Midfielder,4,2,31,10,27,1177,77.0,False
Matthew Wrobel,Saint Louis,Forward,5,2,31,17,15,1216,77.0,False
Luke Pompliano,Fordham,Forward,3,4,19,8,14,986,77.0,False
Andoni Garrogerricaechebarria,La Salle,Forward,2,4,22,8,6,786,77.0,False
David Perez,North Florida,Midfielder,7,2,34,17,16,1356,77.0,False
William Wagner,Cleveland St.,Defender,0,1,6,1,19,1293,77.0,False
Xaver Ehrlich,St. Bonaventure,Defender,0,0,6,3,6,1427,77.0,False
Leon Koehl,Maryland,Midfielder,7,2,20,8,11,1266,77.0,True
Keegan Oyler,Utah Valley,Defender,0,0,2,1,17,1209,77.0,False
Breon Jarvis,Milwaukee,Defender,0,0,0,0,14,1210,77.0,False
Sam Fenton,Dartmouth,Defender,1,0,7,4,14,1387,77.0,False
Alex Miller,Quinnipiac,Midfielder,0,6,17,5,34,984,77.0,False
Jonas Bickus,Stony Brook,Forward,4,3,30,16,17,1104,77.0,False
Alvaro Maneiro,Iona,Midfielder,3,3,32,14,22,1240,77.0,False
Blake Pipkin,Colgate,Forward,6,3,23,12,19,1343,77.0,False
Myles Culley,Davidson,Midfielder,2,3,23,11,9,627,77.0,False
Alex Perez,Virginia Tech,Midfielder,3,3,16,7,1,608,77.0,False
Akinjide Awujo,Northwestern,Forward,5,0,25,10,19,868,77.0,False
Alexan Stjernegaard,Marshall,Midfielder,2,4,20,7,7,1261,77.0,False
Jaylinn Mitchell,SMU,Midfielder,3,2,33,11,19,1184,77.0,False
Alek Wroblewski,UMBC,Forward,2,4,43,19,43,1210,77.0,False
Trip Fleming,Wisconsin,Midfielder,5,3,20,9,12,1082,77.0,False
Drew Pierson,Detroit Mercy,Defender,3,5,14,5,10,1272,77.0,False
Harri Sprofera,Brown,Defender,3,0,6,6,5,1159,77.0,False
Jackson Kirsch,Drake,Midfielder,2,2,27,11,21,1480,77.0,False
Brandon Bermingham,Rhode Island,Forward,3,2,45,21,13,1053,77.0,False
Arion Ulaj,Marist,Midfielder,3,5,24,16,6,992,77.0,False
Bienvenu Djunga,Milwaukee,Forward,3,3,29,17,19,958,77.0,False
Oliver Rhoades,San Diego,Midfielder,3,2,23,9,18,1507,77.0,False
Kenan Hot,Duke,Midfielder,1,0,34,8,26,1569,77.0,False
Richard Monath,Delaware,Midfielder,4,3,29,12,9,1287,77.0,False
Bryson Gosch,Kansas City,Midfielder,1,1,2,1,11,1741,76.0,False
Christian Baumgartner,DePaul,Defender,2,1,5,3,11,1317,76.0,False
Loc San,UMBC,Forward,2,1,18,7,17,535,76.0,False
Nassim Akki,Manhattan,Defender,0,2,4,2,21,1114,76.0,False
Andre Puente,San Diego St.,Defender,4,0,9,8,6,1115,76.0,False
Ismail Nieves,LMU (CA),Defender,2,1,11,7,17,1057,76.0,False
Aysa Hamid,UNC Asheville,Forward,3,0,25,11,5,677,76.0,False
Beaux Lizewski,Lafayette,Midfielder,2,5,13,8,22,1378,76.0,False
Karson Gibbs,SIUE,Forward,2,0,4,3,7,301,76.0,False
Jose De La Torre,Cal St. Fullerton,Midfielder,4,2,30,13,9,899,76.0,False
Ricardo Senen Pinillos,Iona,Midfielder,1,4,19,7,19,1317,76.0,False
Jeffrey White,Wake Forest,Midfielder,0,3,39,13,19,1269,76.0,False
Stewart Patnaud,Wofford,Midfielder,4,2,30,12,20,859,76.0,False
Vito Kreuzpaintner,Le Moyne,Defender,3,1,12,5,15,1142,76.0,False
Thomas Drillen,Fairfield,Forward,3,1,13,9,6,609,76.0,False
Caleb Danquah,Stony Brook,Forward,3,1,21,10,11,714,76.0,False
Oliver Einarsson,ETSU,Midfielder,2,5,12,6,1,783,76.0,False
Finlay Oliver,Stony Brook,Forward,2,3,16,7,9,679,76.0,False
Aaron Biggerstaff,CSU Bakersfield,Forward,1,2,6,3,4,343,76.0,False
Jalen Anderson,South Fla.,Forward,3,2,28,13,12,896,76.0,False
Drew Blackwell,La Salle,Midfielder,1,5,14,4,5,730,76.0,False
Drake Fournier,Saint Louis,Midfielder,1,4,20,2,26,1232,76.0,False
Dominik Topolsky,Mount St. Mary's,Midfielder,3,4,25,11,38,1286,76.0,False
Joe Mcdaid,Columbia,Defender,0,0,4,1,20,1260,76.0,False
Edgar Aguilar,FIU,Defender,0,0,5,1,3,1227,76.0,False
Ismailcan Usta,UMBC,Midfielder,2,3,35,11,24,1202,76.0,False
Sebastian Manon,Dartmouth,Defender,0,0,1,1,13,1344,76.0,False
Daniel Smith,La Salle,Defender,0,0,5,1,13,1178,76.0,False
Aboubacar Camara,Penn St.,Forward,5,0,13,7,9,787,76.0,False
Kevin Larsson,James Madison,Midfielder,5,1,25,12,19,1336,76.0,False
Lukas Hackaa,Fordham,Midfielder,4,1,31,14,34,1320,76.0,False
Zack Harris,CSUN,Midfielder,0,4,30,4,56,1157,76.0,False
Aidan Fong,Green Bay,Defender,1,1,6,2,8,1160,76.0,False
D'Alessandro Herrera,Houston Christian,Midfielder,3,3,28,9,18,1184,76.0,False
Carson Griffith,Presbyterian,Midfielder,4,3,14,7,19,1412,76.0,False
Shane De Flores,Stanford,Forward,4,3,41,14,5,1451,76.0,False
Key White,Old Dominion,Forward,2,4,16,9,12,795,76.0,False
Ethan Newsome,UNCW,Midfielder,2,3,24,8,31,1508,76.0,False
Ziad Abdul-Malak,Le Moyne,Midfielder,5,1,33,14,24,1366,76.0,False
Liam Zimmerman,IU Indy,Defender,0,1,7,1,19,1180,76.0,False
Allan Legaspi,UCLA,Defender,0,1,0,0,2,1122,76.0,False
Calvin Scholten,UMass Lowell,Midfielder,2,2,14,7,4,419,76.0,False
Alex Smith,UCF,Defender,1,1,9,3,23,1082,76.0,False
Mattia Ferretti,St. Bonaventure,Defender,2,2,9,5,6,1255,76.0,False
Stephen Perno,Fairfield,Defender,1,3,7,2,20,1272,76.0,False
Alejandro Almuzara Romero,Sacred Heart,Forward,0,3,16,7,11,427,76.0,False
Italo Addimandi,Northwestern,Forward,2,2,10,3,3,493,76.0,False
Gabe Threadgold,Syracuse,Midfielder,4,3,18,12,1,1265,76.0,False
Jonathan Grado,Cal St. Fullerton,Midfielder,1,4,8,3,16,1574,76.0,False
Mats Bramer,Robert Morris,Defender,0,1,7,1,23,1119,76.0,False
Jack Mcfeely,Loyola Chicago,Midfielder,3,0,19,10,13,369,76.0,False
Brandon Marshall,Providence,Defender,0,1,4,2,7,1109,76.0,False
Tim Koczulap,Robert Morris,Defender,2,5,5,4,4,1008,76.0,False
Luke Thomas,Duke,Midfielder,3,3,20,11,14,951,76.0,False
Alex Matthews,Missouri St.,Midfielder,0,2,7,5,31,1588,76.0,False
Matthew Acosta,North Carolina,Midfielder,1,0,16,7,20,1626,76.0,False
Jayden Pinheiro,Oakland,Defender,2,0,9,2,9,1182,76.0,False
Stephan Moreira,SIUE,Midfielder,1,5,23,12,13,1225,76.0,False
Colin Blandford,VMI,Defender,0,1,10,3,10,1207,76.0,False
Seth Anderson,Saint Louis,Forward,1,9,23,6,27,1266,76.0,False
Vusumzi Plamana,NC State,Midfielder,2,1,8,4,19,1711,76.0,False
Wyatt Stevens,Navy,Forward,4,0,12,6,10,625,76.0,False
Anthony Hernandez,Bowling Green,Midfielder,0,3,18,4,19,1556,76.0,False
Will Cleary,Stanford,Midfielder,0,4,15,3,13,1600,76.0,False
Oliver Pratt,Penn,Defender,1,1,6,2,12,1055,76.0,False
Beto Ydrach,Akron,Midfielder,0,3,13,3,13,1563,76.0,False
Eric Howard,Georgetown,Midfielder,1,3,15,7,10,1828,76.0,True
Bright Nutornutsi,Grand Canyon,Forward,7,1,38,15,19,1494,76.0,False
Bennett Leitner,Fordham,Forward,3,4,9,4,10,868,76.0,False
Samuel Hershey,American,Forward,5,1,22,15,27,1021,76.0,False
Theo Godard,Marshall,Midfielder,0,2,5,1,23,1818,76.0,False
Matt Dreas,Akron,Midfielder,1,1,14,2,28,1723,76.0,False
Jaehyuk Moon,New Hampshire,Defender,0,1,0,0,9,1046,76.0,False
Jack Mcgeechan,Rider,Midfielder,3,1,16,4,22,1789,76.0,False
Eoin Farrell,Hofstra,Midfielder,4,0,9,6,23,1551,76.0,False
Jordan Blunschi,Fairfield,Defender,2,0,4,2,5,1366,76.0,False
David Cordes,California Baptist,Defender,2,0,9,3,15,1149,76.0,False
Ross Johnstone,High Point,Midfielder,5,0,26,9,12,1406,76.0,False
Jeffrey Aguilar,James Madison,Midfielder,3,4,18,12,6,877,76.0,False
Trevor Harrison,Stony Brook,Midfielder,6,1,34,19,15,1049,76.0,False
Nathan Demian,Ohio St.,Defender,0,1,3,2,5,1092,76.0,False
Isak Oystese,Rhode Island,Forward,2,3,19,7,16,740,76.0,False
Oliver Kneer,Queens (NC),Forward,2,0,16,9,13,443,76.0,False
Lejs Plicanic,Oakland,Forward,3,0,16,8,5,554,76.0,False
Michael Eberle,Old Dominion,Forward,3,4,27,12,22,1175,76.0,False
Jose Gomez,NIU,Midfielder,3,5,14,7,39,1250,76.0,False
Gwendal Eugene Degorce,UCF,Defender,0,0,1,0,20,1157,76.0,False
Tony Kim,UAB,Forward,3,1,26,14,16,749,76.0,False
Nacho Abeal,SIUE,Forward,5,1,37,16,27,1294,76.0,False
Jose Escobar,FGCU,Defender,0,1,9,1,9,1254,76.0,False
Joseph Daher,Marist,Defender,0,0,9,6,18,1385,76.0,False
Chris Cushing,Col. of Charleston,Midfielder,1,3,10,4,33,1379,76.0,False
Andre Philibbosian,Seattle U,Midfielder,2,3,14,3,27,1403,76.0,False
Zach Gardner,Siena,Midfielder,4,1,26,14,29,1612,76.0,False
Phineas Callahan,Dartmouth,Midfielder,3,4,27,11,13,1162,76.0,False
Giancarlo Vaccaro,Drexel,Forward,2,5,24,10,16,1118,76.0,False
Tj Kahoalii,Louisville,Midfielder,2,3,13,4,50,937,76.0,False
Jonah Bigger,South Carolina,Midfielder,2,4,9,5,16,1350,76.0,False
Tre Barrett,William & Mary,Forward,2,5,23,11,16,973,76.0,False
Ensa Sanneh,Manhattan,Defender,0,1,3,0,16,1192,76.0,False
Ben Buckley,Mercyhurst,Defender,0,0,3,1,9,1088,76.0,False
Ethan Marks,Winthrop,Forward,3,0,13,9,5,505,76.0,False
Louis Lehr,Fordham,Midfielder,2,3,14,5,26,1575,76.0,False
Keaviano Francis,UTRGV,Forward,4,2,30,16,18,1036,76.0,False
Ryko Bodurov,Bowling Green,Midfielder,3,2,12,6,12,522,76.0,False
Gabe Villagomez,Western Mich.,Midfielder,2,3,12,6,13,600,76.0,False
Mason Petrucci,Canisius,Forward,2,5,20,10,8,910,76.0,False
William Arnesen,Old Dominion,Forward,3,1,31,13,9,862,76.0,False
Brian Burkett,Wright St.,Midfielder,2,3,14,7,18,657,76.0,False
Anthony Randazzo,Binghamton,Forward,4,0,13,7,14,709,75.0,False
Patrick Osiecki,Monmouth,Midfielder,4,1,30,12,13,1344,75.0,False
Issah Hamidu,South Fla.,Defender,1,2,8,2,8,1051,75.0,False
Ryusei Shimonishi,Creighton,Defender,1,2,10,4,8,1047,75.0,False
Thomas Raimbault,Wisconsin,Forward,3,2,11,7,11,730,75.0,False
Noe Bijou,Lindenwood,Defender,3,1,10,7,10,1005,75.0,False
Sander Roed,Louisville,Midfielder,3,2,25,9,20,909,75.0,False
Kyle Evans,Marist,Midfielder,1,3,33,6,45,1384,75.0,False
Blake Driehuis,Saint Joseph's,Forward,5,1,36,12,11,1215,75.0,False
Aidan Morrison,William & Mary,Midfielder,3,1,31,10,20,1440,75.0,False
Tommy Coughlin,Green Bay,Midfielder,1,3,21,7,21,1419,75.0,False
Daiki Kumakawa,Milwaukee,Midfielder,3,2,19,9,35,1263,75.0,False
Xavier Rimpel,Temple,Forward,2,2,13,9,3,581,75.0,False
Jonathan Stout,Michigan St.,Forward,4,2,28,11,11,1057,75.0,False
Parker O'Ferral,North Carolina,Defender,1,0,7,3,2,1055,75.0,False
Edvin Grolimund,UNC Asheville,Midfielder,1,4,25,10,10,1102,75.0,False
Sean Thompson,UMBC,Defender,0,0,0,0,6,1106,75.0,False
Lou-Kent Bosc,Butler,Defender,0,1,5,2,51,1151,75.0,False
Perry Blay,Liberty,Defender,0,2,12,2,17,1019,75.0,False
Sello Diphoko,UIW,Defender,4,1,30,17,13,932,75.0,False
Marcelo Randolf,Old Dominion,Defender,1,2,16,5,9,992,75.0,False
Issah Haruna,UNC Greensboro,Midfielder,3,3,18,10,17,1004,75.0,False
Cameron Caldwell,Lindenwood,Defender,0,2,4,1,22,1044,75.0,False
Juan Gutierrez,UIC,Defender,1,2,6,3,11,1217,75.0,False
Cianole Nguepissi,San Diego St.,Defender,0,2,0,0,11,1100,75.0,False
Thaddeus Dennis,Wofford,Midfielder,2,3,28,10,19,1166,75.0,False
Oluwatobi Osoba,La Salle,Defender,0,0,9,3,19,1099,75.0,False
Adrian Renteria,Purdue Fort Wayne,Defender,0,0,7,5,19,1093,75.0,False
Marlon Tabora,Georgetown,Forward,3,1,25,9,15,815,75.0,False
Nicholas Nyquist,Harvard,Forward,2,1,15,10,7,527,75.0,False
Adel Al Masude,Rider,Midfielder,1,2,34,11,24,1296,75.0,False
Joe Core,San Francisco,Defender,3,0,7,4,13,1017,75.0,False
Sora Shibata,Kansas City,Forward,2,4,15,5,26,1046,75.0,False
Fernando Valenzuela,Cal St. Fullerton,Midfielder,3,3,13,8,10,773,75.0,False
Cade Wurstner,Mercyhurst,Midfielder,3,1,8,5,3,354,75.0,False
Birgir Baldvinsson,Wisconsin,Defender,0,1,9,5,18,1058,75.0,False
Nick Zielonka,Kentucky,Forward,2,2,11,5,5,546,75.0,False
Van Heukelum,Maryland,Forward,2,0,11,5,1,371,75.0,False
Alex Salvo,SMU,Midfielder,0,0,6,2,22,1867,75.0,False
Konstantin Donalies,Seton Hall,Defender,0,1,7,1,5,1036,75.0,False
Justin Pham,Le Moyne,Midfielder,2,4,14,9,24,1189,75.0,False
Jared Rapoza,Stonehill,Forward,5,0,28,15,24,1182,75.0,False
Alex De Nittis,Saint Francis,Midfielder,2,3,26,12,14,829,75.0,False
Bryce Burdette,Presbyterian,Defender,0,1,4,2,13,1407,75.0,False
Sokol Ymeraj,NJIT,Midfielder,4,1,27,10,39,1349,75.0,False
Morgan Dance,Presbyterian,Midfielder,3,2,14,6,26,698,75.0,False
Jose Antonio Herrera,IU Indy,Forward,6,0,28,12,6,1227,75.0,False
Ivan Morcillo,Sacred Heart,Forward,3,2,26,14,14,1001,75.0,False
Lucas Lykkegaard,Rhode Island,Defender,1,0,6,2,2,1121,75.0,False
Jack Flanagan,Notre Dame,Forward,4,1,22,8,11,1018,75.0,False
Ben Fisher,Charlotte,Midfielder,0,5,10,3,17,765,75.0,False
Nick Collins,Rutgers,Defender,1,0,17,5,9,1167,75.0,True
Nathan Simes,Wofford,Forward,2,0,7,3,7,341,75.0,False
Jack Klomparens,Oakland,Midfielder,3,2,35,17,16,960,75.0,False
Nemo Philipp,UC Santa Barbara,Defender,2,4,20,9,17,679,75.0,False
Trevor Burns,Duke,Midfielder,0,4,9,2,24,1138,75.0,False
Mateo Franzotti,Kentucky,Defender,1,1,9,3,12,1047,75.0,False
Joao Pinto,Quinnipiac,Defender,1,2,10,4,22,1084,75.0,False
Raz Amir,NJIT,Forward,2,2,14,4,7,609,75.0,False
Preston Kipnusu,Drake,Forward,4,1,23,8,28,1130,75.0,False
Gudjon Stefansson,Coastal Carolina,Defender,0,1,10,1,7,1184,75.0,False
Guillermo Frances Poquet,UMass Lowell,Midfielder,3,2,25,11,4,712,75.0,False
Maurice Hauser,Stetson,Midfielder,5,1,23,13,8,733,75.0,False
Jack Lewis,Louisville,Midfielder,1,3,11,3,21,1365,75.0,False
Rashid Aroza,St. Bonaventure,Forward,2,1,23,9,6,638,75.0,False
Josh Copeland,Detroit Mercy,Midfielder,3,4,23,8,14,1156,75.0,True
Diego Porras,Western Ill.,Forward,3,0,25,14,8,725,75.0,False
Carson Ballagh,Oakland,Midfielder,1,5,13,5,15,1278,75.0,False
Roman Torres,Creighton,Midfielder,3,2,11,8,25,1427,75.0,True
Evan Carlson,Drake,Forward,1,2,6,3,2,367,75.0,False
Carter Hensley,Virginia Tech,Midfielder,1,2,18,3,18,1389,75.0,False
